Geologycal_age,Domain,Rock_type,Country,Age  (Ma),error (Ma),Longitude (X),Latitude (Y),SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,LOI,SUM (no water),Nb_xrf,Zr_xrf,Y_xrf,Sr_xrf,Rb_xrf,Pb_xrf,Ga_xrf,Zn_xrf,Cu_xrf,Ni_xrf,Co_xrf,Cr_xrf,V_xrf,Ba_xrf,Sc_xrf,La/Sm,La/Yb,Sr/Y,Sm/Yb,Dy/Yb
Quaternary,Arequipa,dacite,Peru,,,-70.908,-16.667,64.35,0.57,16.1,3.95,0.06,1.68,3.75,4.39,2.81,0.19,,,97.83,4,130,9,701,67,19,18.5,61,26,16.5,12.5,13.5,87.5,1009.5,8.5,6.1,33.9,77.9,5.6,2.7
Quaternary,Arequipa,dacite,Peru,,,-70.782,-16.69,64.1,0.61,16.3,4.1,0.06,1.8,3.97,4.52,2.76,0.2,,,98.42,4,140,8,721,65,23,22,61,86,16,14,14,94,1041,8,6,29,90.1,4.8,2.6
Quaternary,Arequipa,dacite,Peru,,,-70.782,-16.69,65.1,0.59,16.4,3.96,0.06,1.68,3.86,4.53,2.79,0.19,,,99.16,6,134,12,717,65,20,22,57,59,17,10,12,93,1004,11,6.6,31.9,59.8,4.8,2.7
Quaternary,Arequipa,dacite,Peru,,,-70.782,-16.69,63.6,0.61,16.4,4.16,0.06,1.86,4.08,4.46,2.73,0.2,,,98.16,3,139,11,740,64,17,22,61,63,20,15,18,96,1030,6,6.5,29.4,67.3,4.5,2.5
Quaternary,Arequipa,dacite,Peru,,,-70.782,-16.69,67.6,0.39,15.4,2.89,0.06,1.01,2.79,4.42,3.11,0.14,,,97.8,4,126,8,612,84,16,18,50,33,9,6,7,56,1067,5,6.1,20.4,76.5,3.3,2.2
Quaternary,Arequipa,dacite,Peru,,,-70.782,-16.69,63.2,0.6,16.1,4.17,0.06,1.82,4.04,4.39,2.73,0.2,,,97.31,3,138,9,704,66,16,19,56,37,18,12,15,93,983,9,6.5,27.7,78.2,4.3,2.4
Quaternary,Arequipa,dacite,Peru,,,-70.782,-16.69,63.65,0.56,16.05,3.83,0.06,1.68,3.88,4.35,2.76,0.19,,,96.99,5,125,9.5,700,65,19,19,58,27.5,16,11,11,84.5,980.5,9,6.4,30.9,73.7,4.8,2.7
Quaternary,Arequipa,dacite,Peru,,,-70.645,-16.732,63.2,0.71,16.3,4.27,0.06,1.62,3.61,4.28,3.17,0.24,,,97.46,7,191,9,715,82,16,22,70,33,12,12,11,88,1128,8,6.7,58.1,79.4,8.7,3.7
Quaternary,Arequipa,andesite,Peru,,,-70.608,-16.732,62.9,0.7,16.3,4.25,0.06,1.66,3.62,4.08,3.19,0.23,,,96.98,5,206,8,677,85,17,21,71,23,10,13,10,93,1117,8,6.5,42.6,84.6,6.6,3
Quaternary,Arequipa,dacite,Peru,,,-70.609,-16.738,65,0.69,16.1,4.29,0.06,1.65,3.7,4.37,3.24,0.21,,,99.31,7,185,10,682,86,15,21,67,57,13,13,13,96,1083,10,6.9,47.5,68.2,6.9,3.1
