Geologycal_age,Domain,Rock_type,Country,Age  (Ma),error (Ma),Longitude (X),Latitude (Y),SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,LOI,SUM (no water),Nb_xrf,Zr_xrf,Y_xrf,Sr_xrf,Rb_xrf,Pb_xrf,Ga_xrf,Zn_xrf,Cu_xrf,Ni_xrf,Co_xrf,Cr_xrf,V_xrf,Ba_xrf,Sc_xrf,La/Sm,La/Yb,Sr/Y,Sm/Yb,Dy/Yb
Pliocene,transition,andesite,Chile,,,-68.45,-21.6,61.57,0.68,17.36,5.57,0.09,2.2,5,4.19,2.75,0.19,,0.87,99.6,8,145,17,549,86,,,67,22,10,13,14,95,777,,5.6,14.9,32.3,2.7,1.9
Pliocene,transition,andesite,Chile,,,-68.283,-21.767,66.16,0.52,15.78,3.77,0.07,1.71,3.48,3.64,3.84,0.12,,0.97,99.09,13,149,19,357,183,,,58,15,9,7,26,69,697,,9.5,28.2,18.8,3,1.9
Pliocene,transition,dacite,Chile,,,-68.283,-21.767,65.24,0.52,16.07,3.82,0.06,1.6,3.57,3.98,3.56,0.15,,1.13,98.57,9,162,15,493,138,,,62,25,7,9,11,71,903,,,,32.9,,
Pliocene,transition,andesite,Chile,3.75,0.5,-68.483,-21.4,59.96,0.77,18.14,6.25,0.1,2.31,5.58,4.02,2.92,0.26,,0.83,100.31,8,164,18,605,56,,,86,41,3,46,8,109,837,,6.2,20,33.6,3.2,2.3
Pliocene,transition,andesite,Chile,,,-68.45,-21.6,61.76,0.66,17.74,5.57,0.07,1.94,5.07,4.28,2.54,0.2,,0.81,99.83,7,149,20,563,84,,,67,25,2,48,12,110,792,,5.5,13.3,28.2,2.4,1.9
Pliocene,transition,andesite,Chile,,,-68.283,-21.767,61.68,0.77,16.5,3.68,0.08,3.05,5.3,3.6,2.83,0.19,,0.85,97.68,14,144,18,367,188,,,57,13,6,32,20,68,667,,7.6,29.4,20.4,3.9,2.2
Pliocene,transition,andesite,Chile,,,-68.233,-21.783,61.59,0.76,16.47,5.56,0.09,3.05,5.26,3.64,2.74,0.18,,0.74,99.34,11,163,20,492,105,,,78,19,13,23,50,118,647,,,,24.6,,
Pliocene,transition,andesite,Chile,,,-68.233,-21.783,60.05,0.85,16.19,6.16,0.08,3.81,6.17,3.26,2.33,0.21,,1.58,99.11,9,146,19,573,71,,,86,28,22,24,84,138,701,,,,30.2,,
Pliocene,transition,basalt,Chile,,,-68.483,-21.583,52.95,1.42,17.15,9.24,0.11,5.18,8.73,3.57,1.5,0.27,,0.01,100.12,7,104,22,796,28,,27.1,115,48,30,51,75,250,386,,2.5,10.1,36.2,4,2.4
Pliocene,transition,andesite,Chile,3.15,0.15,-68.483,-21.583,59.74,0.96,16.92,6.57,0.09,3.83,5.9,4.41,2.06,0.26,,,100.74,7,158,15,711,42,,,101,54,37,20,113,142,728,,4.8,23.7,47.4,5,2.7
Pliocene,transition,andesite,Chile,3.59,0.11,-68.583,-21.183,61.78,0.64,16.89,5.25,0.08,2.78,4.98,4.05,2.69,0.2,,1.06,99.34,7,140,13,596,62,,,74,44,18,12,55,94,794,,5.9,21.3,45.8,3.6,2.3
Pliocene,Arequipa,dacite,Chile,,,-69.219,-18.751,63.59,0.93,15.48,3.56,0.08,1.62,3.84,4.61,3.36,0.39,,1.04,98.38,11,240,14,1256,77,,,101,25,17,15,29,89,1561,,7.5,67.9,89.7,9.1,2.9
Pliocene,Arequipa,andesite,Chile,,,-69.219,-18.751,59.55,1.07,16.66,5.34,0.08,2.42,5.2,4.55,2.94,0.44,,1.39,98.72,10,235,14,1271,53,,,92,53,18,16,24,91,1406,,7,64.1,90.8,9.2,3.2
Pliocene,Arequipa,andesite,Chile,,,-69.219,-18.751,56.96,1.54,15.93,3.85,0.09,3.33,5.82,4.3,2.7,0.58,,1.04,98.39,13,288,18,1340,34,,,125,31,28,18,64,141,1338,,5.3,53.4,74.4,10,3.7
Pliocene,Arequipa,rhyolite,Chile,,,-69.367,-18.367,75.21,0.12,12.59,0.88,0.09,0.16,0.6,3.48,5.33,0.03,,,98.48,27,97,17,38,382,49,26,37,8.8,,4,10,9,74,2,6.8,16.8,2.2,2.5,1.6
Pliocene,Arequipa,rhyolite,Chile,,,-69.15,-18.617,65.86,0.46,13.08,3.53,0.11,2.56,3.93,3.12,4.63,0.3,,,97.57,25,112,20,343,254,28,23,124,14.9,,11,108,84,492,13,6.3,20,17.2,3.2,1.8
Pliocene,Arequipa,rhyolite,Chile,,,-69.15,-18.617,74.76,0.12,12.63,0.89,0.06,0.11,0.43,2.58,6.49,0.03,,,98.09,23,85,13,21,245,21,21,27,5,,-2,6,8,64,0,8.7,31.7,1.6,3.7,1.9
Pliocene,Arequipa,rhyolite,Chile,,,-69.564,-17.441,72.8,0.14,13,0.96,0.04,0.12,0.69,2.55,6.4,0.05,,,96.76,14,101,10,115,167,22,19,28,1,2,1,4,7,335,3,,,11.5,,
Pliocene,Arequipa,rhyolite,Chile,,,-69.538,-17.488,74.5,0.11,12.3,0.77,0.06,0.08,0.46,2.57,6.34,0.02,,,97.21,20,82,15,19,237,31,22,33,0,3,4,6,8,79,0,,,1.3,,
Pliocene,Arequipa,rhyolite,Chile,,,-69.97,-18.514,74.74,0.13,12.19,0.78,0.03,0.14,0.77,4.45,4.81,0.02,,,98.06,11,85,7,107,116,14,17,47,9.9,,2,19,6,201,2,15,,15.3,,
Pliocene,Arequipa,rhyolite,Chile,,,-69.283,-18.067,74.99,0.11,12.78,0.8,0.09,0.07,0.38,3.14,5.79,0.02,,,98.17,28,87,18,16,407,31,26,43,4,3,1,22,9,23,6,6.9,17.3,0.9,2.5,1.7
Pliocene,Arequipa,rhyolite,Chile,,,-69.5,-18.65,76.27,0.11,12.38,0.67,0.05,0.09,0.55,3.35,5.28,0.02,,,98.76,18,79,10,24,194,24,19,19,2.1,,-1,8,6,66,0,11.7,46.7,2.4,4,1.8
Pliocene,Arequipa,rhyolite,Chile,,,-69.483,-18.65,75.79,0.11,12.57,0.76,0.07,0.09,0.38,3.4,5.3,0.02,,,98.49,23,79,12,14,290,23,22,18,4.4,3,2,14,4,39,-1,9.3,29.2,1.2,3.1,1.8
Pliocene,Arequipa,rhyolite,Chile,,,-69.3,-18.083,75.78,0.1,12.95,0.65,0.07,0.04,0.28,3.43,5.45,0.02,,,98.76,37,88,19,11,380,20,25,13,7.7,,2,7,4,30,3,3.3,3.9,0.6,1.2,1.3
Pliocene,Arequipa,rhyolite,Chile,,,-69.283,-18.967,75.09,0.14,13.5,0.87,0.05,0.07,0.53,2.35,6.49,0.05,,,99.13,12,95,6,65,221,14,19,12,6.2,3,4,14,8,204,6,9.1,22.1,10.8,2.4,1.4
Pliocene,Arequipa,rhyolite,Chile,,,-69.946,-18.423,74.94,0.15,12.72,0.96,0.05,0.21,0.71,3.92,5,0.03,,,98.69,17,102,9,125,171,16,19,61,4,,4,19,6,318,1,9.1,17.8,13.9,2,1.3
Pliocene,Arequipa,rhyolite,Chile,,,-69.117,-17.517,76.03,0.11,12.44,0.67,0.04,0.07,0.49,2.89,6.03,0.02,,,98.79,17,82,10,25,201,16,19,23,2.8,,2,8,6,49,0,7.1,16.6,2.5,2.3,1.4
Pliocene,Arequipa,rhyolite,Chile,,,-69.117,-17.517,75.56,0.11,12.57,0.72,0.05,0.05,0.41,2.29,6.55,0.02,,,98.33,15,80,9,19,222,27,20,57,6.6,,-1,8,2,42,1,5,10.2,2.1,2.1,1.5
Pliocene,Arequipa,rhyolite,Chile,,,-69.117,-17.517,84.06,0.09,9.47,0.52,0.01,0.03,0.36,3.02,3.52,0.01,,,101.09,11,66,7,22,96,13,13,15,3.8,,1,7,6,67,-2,12,,3.1,,
Pliocene,Arequipa,rhyolite,Chile,,,-69.117,-17.517,72.76,0.31,14.07,1.88,0.03,0.42,1.38,4.31,4.72,0.09,,,99.97,10,178,6,384,113,21,18,48,6.5,,2,8,26,1048,3,14.4,78.6,64,5.5,2.1
Pliocene,Arequipa,rhyolite,Chile,,,-69.269,-17.631,74.07,0.12,12.7,0.83,0.06,0.07,0.68,3.04,5.96,0.02,,,97.55,16,116,6,33,158,24,18,36,2,,0,8,8,92,4,13.6,11,5.5,0.8,0.8
Pliocene,Arequipa,rhyolite,Chile,,,-69.25,-17.88,75.54,0.1,12.6,0.7,0.09,0.12,0.43,3.73,4.86,0.01,,,98.18,38,86,17,13,408,27,23,40,3.1,,0,5,2,25,5,4.8,7,0.8,1.4,1.3
Pliocene,Arequipa,rhyolite,Chile,,,-69.25,-17.88,74.74,0.1,12.84,0.71,0.07,0.06,0.4,3.06,6.26,0.04,,,98.27,37,85,17,14,388,25,25,17,7.7,,2,6,5,23,4,3.8,5.2,0.8,1.4,1.3
Pliocene,Arequipa,rhyolite,Chile,,,-68.673,-18.453,75.37,0.12,12.72,0.79,0.04,0.07,0.53,2.09,6.58,0.03,,,98.34,13,88,7,40,129,15,17,20,3.4,,3,8,2,196,4,6.4,20.8,5.7,3.2,1.7
Pliocene,Arequipa,rhyolite,Chile,,,-68.334,-17.95,74.08,0.1,12.26,0.75,0.13,0.06,0.35,2.92,5.2,0.01,,,95.85,37,84,14,16,429,32,23,45,6.2,,2,6,7,86,2,6.2,16.4,1.1,2.6,1.7
Pliocene,Arequipa,rhyolite,Chile,,,-68.75,-18.05,74.85,0.12,12.69,0.79,0.04,0.04,0.53,2.13,6.54,0.02,,,97.75,14,89,9,40,125,16,17,20,3.6,,-1,9,7,183,1,12.2,54,4.4,4.4,1.8
Pliocene,Arequipa,rhyolite,Chile,,,-68.75,-18.05,75.63,0.11,12.36,0.67,0.04,0.07,0.49,2.86,6.02,0.02,,,98.27,16,82,11,27,201,18,19,23,3.2,,0,8,4,53,3,10.8,39,2.5,3.6,1.7
Pliocene,Arequipa,rhyolite,Chile,,,-68.75,-18.05,75.18,0.12,12.72,0.78,0.04,0.05,0.53,2.15,6.57,0.03,,,98.17,13,91,10,41,127,18,19,23,3.6,,0,6,4,203,2,12.1,56.9,4.1,4.7,1.9
Pliocene,Arequipa,rhyolite,Chile,,,-68.75,-18.05,77.23,0.11,12.58,0.6,0.04,0.08,0.5,2.93,6.08,0.02,,,100.17,17,83,10,22,199,19,18,23,3.1,,3,7,5,62,0,9.7,32.8,2.2,3.4,1.7
Pliocene,Arequipa,rhyolite,Chile,,,-68.85,-18.383,76.65,0.12,12.94,0.82,0.04,0.07,0.54,2.18,6.62,0.02,,,100,12,90,7,38,126,25,19,24,3.7,,1,7,5,203,2,11.7,54.9,5.4,4.7,1.9
Pliocene,Arequipa,rhyolite,Chile,,,-68.85,-18.383,77.11,0.11,12.58,0.67,0.04,0.06,0.5,2.88,6.05,0.02,,,100.02,15,82,9,25,198,21,19,25,3.4,,0,8,0,61,2,10.9,44.6,2.8,4.1,1.8
Pliocene,Arequipa,rhyolite,Chile,,,-68.85,-18.383,75.46,0.12,12.79,0.8,0.04,0.04,0.53,2.07,6.59,0.02,,,98.46,14,88,7,39,128,37,19,22,3.7,,1,6,2,197,1,12.4,59.9,5.6,4.8,1.9
Pliocene,Arequipa,rhyolite,Chile,,,-68.9,-18.283,74.34,0.12,12.55,0.77,0.04,0.06,0.52,2.1,6.5,0.02,,,97.02,13,87,8,40,126,14,18,19,2.8,,0,4,7,189,0,10.7,44.8,5,4.2,1.8
Pliocene,Arequipa,rhyolite,Chile,,,-68.9,-18.283,74.85,0.11,12.17,0.66,0.04,0.06,0.49,2.83,5.97,0.02,,,97.19,19,82,10,24,201,10,18,27,3.6,,-2,7,2,58,3,12.1,56.1,2.4,4.6,1.8
Pliocene,Arequipa,rhyolite,Chile,,,-68.9,-18.283,74.69,0.12,12.59,0.76,0.04,0.05,0.53,2.06,6.54,0.03,,,97.4,12,89,10,40,126,17,17,20,2.9,,3,8,4,201,2,10.9,41.7,4,3.8,1.8
Pliocene,Arequipa,rhyolite,Chile,,,-68.9,-18.283,75.03,0.11,12.29,0.68,0.04,0.08,0.49,2.85,5.99,0.02,,,97.57,19,82,9,23,201,16,20,22,3.6,,3,8,6,63,3,13.2,63.7,2.6,4.8,1.9
Pliocene,Arequipa,rhyolite,Chile,,,-69.367,-18.367,74.46,0.11,12.59,0.77,0.09,0.13,0.41,3.24,5.51,0.02,,,97.32,28,91,17,24,396,29,26,4,5.6,,73,10,7,68,3,6.5,15.7,1.4,2.4,1.6
Pliocene,Arequipa,rhyolite,Chile,,,-69.35,-18.267,72.4,0.12,13.3,0.91,0.07,0.14,0.97,3.6,4.86,0.02,,,96.4,8,82,8,215,151,30,17,17,4.5,1,93,9,11,1015,1,10.6,,26.9,,
Upper Pliocene,Arequipa,rhyolite,Chile,,,-69.367,-18.367,74.25,0.16,12.9,1.28,0.09,0.54,0.75,3.11,5.53,0.05,,,98.65,22,91,14,52,337,51,23,38,6,5,4,25,17,120,1,7.1,18.6,3.7,2.6,1.7
Pliocene,Antofalla,andesite,Argentina,,,-67.22,-26.42,52.49,1.18,15.59,8.32,0.13,8.58,8,2.62,1.45,0.27,,,98.63,,,,486,48,,,,,179,,384,,301,26.6,4.2,10.9,,2.6,
Pliocene,Antofalla,andesite,Argentina,,,-68.17,-25.67,53.07,1.23,16.12,8.5,0.13,8.06,8.33,2.71,1.11,0.19,,,99.45,,,,434,29,,,,,172,64,411,,293,25.3,4,12.3,,3.1,
Pliocene,Antofalla,andesite,Argentina,,,-67.3,-25.8,59.68,1.11,15.02,6.27,0.08,6.55,5.49,3.14,2.2,0.27,,,99.81,,,,501,72,,,,,229,90,260,,500,14.3,5.7,25.1,,4.4,
Pliocene,Antofalla,andesite,Argentina,,,-67.83,-25.3,56.82,1.53,17.56,7.07,0.11,3.73,7.29,2.93,1.67,0.31,,,99.02,,,,805,28,,,,,18,39,12,,669,13.7,5,23.4,,4.7,
Pliocene,Antofalla,andesite,Argentina,,,-67.92,-24.58,54.52,1.54,16.24,7.67,0.17,6.55,7.23,3.23,2.62,0.38,,,100.15,,,,624,,,,,,119,33,323,,503,21.7,4.9,18.4,,3.7,
Pliocene,Antofalla,andesite,Argentina,,,-66.75,-22.5,62.93,0.85,16.12,4.69,0.05,2.05,3.54,1.88,4.27,0.25,,,96.63,18,172,26,276,244,29,,95,40,13,168,27,102,689,,6.7,42.7,10.6,6.4,2.6
Pliocene,Antofalla,dacite,Argentina,,,-67.333,-25.883,67.45,0.54,14.63,,0.05,1.15,2.58,3.39,4.54,0.18,,,97.27,,,,270,264,,,,,5,,18,,481,,6.6,31.3,,4.8,
Pliocene,Antofalla,rhyolite,Argentina,,,-67.333,-25.883,68.02,0.69,14.78,,0.04,1.08,2.35,3.47,5.19,0.2,,,99.16,,188,,239,120,,,,,1,6,7,,511,7.3,4.4,21.8,,4.9,
Pliocene,Antofalla,rhyolite,Argentina,2,,-67.709,-25.616,73.3,0.1,12.76,0.69,0.05,0.09,1.31,3.36,4.79,0.02,,,96.47,17,76,11,145,217,,17,34,2.8,0.9,0.4,,,563,1.9,7.3,20,13.2,2.7,1.9
Mio-Pliocene,Paracas,andesite,Peru,,,-71.478,-15.506,57.9,1.05,16.2,6.69,0.11,3.73,6.12,4.45,2.67,0.49,,,99.4,5,237,18,1263,69,20,23,99,54,53,25,75,144,1440,16,7.4,40.3,70.2,5.5,2.4
Mio-Pliocene,Paracas,andesite,Peru,,,-73.417,-15.459,54,1.16,17.7,8.26,0.13,3.76,7.35,4.01,1.63,0.35,,,98.35,9,179,20,650,37,11,22,94,81,27,24,34,205,587,20,4,14.6,32.5,3.6,2.3
Mio-Pliocene,Paracas,andesite,Peru,,,-73.433,-15.493,54.4,1.04,18.5,7.53,0.12,2.84,7.21,4.41,1.49,0.34,,,97.87,6,163,18,707,27,7,22,88,78,11,20,10,175,598,19,4.1,13.2,39.3,3.2,2.1
Mio-Pliocene,Paracas,andesite,Peru,,,-73.738,-15.231,59.8,0.93,17.2,6.16,0.1,2.22,4.76,4.7,2.49,0.36,,,98.72,10,218,23,546,70,13,20,91,5,1,8,5,106,670,7,4.3,13.3,23.7,3.1,2.2
Miocene,Paracas,andesite,Peru,,,-72.748,-15.614,60,0.67,17.4,5.71,0.11,2.02,5.17,4.26,2.57,0.39,,,98.29,10,201,18,812,58,9,20,86,13,1,14,5,115,1033,4,6,22.7,45.1,3.8,2
Miocene,Paracas,basaltic andesite,Peru,,,-72.748,-15.614,53.8,1.09,16.8,7.64,0.11,4.39,7.08,3.7,2.57,0.47,,,97.65,9,194,19,1182,54,12,21,89,57,45,27,77,181,1066,19,6.5,36.4,62.2,5.6,2.6
Miocene,Paracas,andesite,Peru,,,-72.748,-15.614,56.5,0.95,17.6,7.47,0.12,3.04,6.39,4.25,2.32,0.38,,,99.02,7,178,22,861,44,12,21,94,45,10,15,16,160,844,12,5.5,21.8,39.1,4,2.1
Miocene,Paracas,andesite,Peru,,,-71.557,-15.539,58.5,0.7,17.7,4.64,0.17,1.49,6.66,5.46,1.99,0.22,,,97.53,8,134,19,486,63,15,21,204,22,21,14,13,152,729,17,,,25.6,,
Miocene,Paracas,andesite,Peru,,,-71.557,-15.539,52.9,1.44,17,9.07,0.12,5.62,7.65,3.96,1.56,0.4,,,99.72,3,154,19,770,30,11,21,103,76,86,28,160,211,570,20,3.6,12.1,40.5,3.4,2.2
Miocene,Paracas,andesite,Peru,,,-71.557,-15.539,63,0.47,17.4,4.58,0.1,0.77,3.48,4.3,3.28,0.21,,,97.58,7,167,18,443,111,35,20,86,4,2,10,5,58,1047,9,,,24.6,,
Miocene,Paracas,andesite,Peru,,,-71.261,-15.048,60.7,0.93,15.8,5.35,0.05,1.6,4.51,4.17,3.33,0.39,,,96.83,18,215,20,639,104,13,19,68,19,45,14,102,100,899,10,6.7,28.4,32,4.3,2.4
MIocene,Paracas,basaltic andesite,Peru,11.2,0.5,-71.288,-15.397,53.3,1.52,16,8.14,0.13,3.07,7.65,3.81,2.5,0.52,,,96.64,20,234,19,933,51,10,20,103,58,59,27,106,179,1001,18,6.6,37.6,49.1,5.7,2.9
Mio-Pliocene,Arequipa,andesite,Peru,5.97,0.2,-72.632,-15.704,56.5,0.89,16.8,7.75,0.13,4.4,7.25,3.51,1.76,0.24,,,99.23,7,152,30,524,47,8,17,76,75,38,21,87,198,684,22,4.4,11.2,17.5,2.5,2
Mio-Pliocene,Arequipa,dacite,Peru,6.1,0.6,-71.769,-15.874,65.9,0.69,16.1,3.33,0.06,0.5,2.68,4.06,4.74,0.19,,,98.24,18,436,29,401,182,33,21,55,14,4,8,7,51,1141,9,6.3,22.3,13.8,3.5,2.2
Mio-Pliocene,Arequipa,andesite,Peru,6.1,0.6,-71.771,-15.874,62.4,0.71,15.5,5.26,0.08,2.5,4.63,3.57,3.57,0.21,,,98.43,10,221,21,528,154,21,24,70,38,14,19,28,120,829,12,7.5,26.6,25.1,3.5,2.1
Mio-Pliocene,Arequipa,andesite,Peru,,,-71.385,-15.88,58.8,0.94,17,6.87,0.09,3.14,6.15,3.68,2.51,0.28,,,99.45,4,184,18,748,78,18,22,89,67,26,19,44,166,744,19,5.9,25.5,41.6,4.3,2.4
Mio-Pliocene,Arequipa,andesite,Peru,,,-71.274,-16.199,56.4,1.3,17,8.32,0.13,3.01,6.01,3.96,2.49,0.37,,,98.98,10,228,24,631,53,8,20,103,112,12,21,14,225,925,18,5.6,19.7,26.3,3.5,2.2
Mio-Pliocene,Arequipa,andesite,Peru,,,-71.15,-16.336,58.1,1.01,16.8,7.19,0.1,3.25,6.25,3.85,2.49,0.3,,,99.35,8,195,21,677,70,14,22,93,71,40,22,62,175,1370,20,6.6,26.1,32.2,4,2.3
Mio-Pliocene,Arequipa,andesite,Peru,,,-71.06,-16.428,58.4,0.87,17.2,6.45,0.09,3.53,6.15,3.99,2.17,0.26,,,99.11,5,140,11,836,39,8,23,84,99,45,22,70,164,874,11,5.5,26.9,76,4.9,2.7
Mio-Pliocene,Arequipa,andesite,Peru,,,-71.435,-16.25,58,0.83,16.4,7.03,0.11,4.3,6.44,3.58,1.84,0.22,,,98.75,4,152,12,699,32,13,20,83,59,67,25,138,162,821,16,6,23.3,58.3,3.9,2.3
Mio-Pliocene,Arequipa,andesite,Peru,,,-71.342,-16.387,60.2,0.82,17.3,6.21,0.09,2.7,5.58,4.18,2.3,0.25,,,99.63,6,156,13,751,49,15,23,77,76,28,21,32,141,937,10,6,24.8,57.8,4.1,2.4
Mio-Pliocene,Arequipa,andesite,Peru,,,-71.204,-16.483,62.1,0.64,16.6,4.99,0.08,2.4,4.86,4.19,2.64,0.21,,,98.7,5,148,13,722,59,23,23,74,73,21,16,38,116,961,12,5.9,24.4,55.5,4.1,2.2
Mio-Pliocene,Arequipa,andesite,Peru,,,-71.198,-16.487,60.1,0.73,17.9,5.9,0.1,2.39,5.79,4.48,2.02,0.28,,,99.69,4,146,11,914,40,12,23,84,55,21,18,37,130,923,11,5.5,22.6,83.1,4.1,2.3
Mio-Pliocene,Arequipa,andesite,Peru,9.5,0.6,-71.571,-15.75,61.2,0.85,16.2,5.96,0.09,2.39,4.84,4.06,2.93,0.28,,,98.8,11,214,17,526,90,16,21,75,27,22,14,43,124,892,15,6.8,25.8,30.9,3.8,2.3
Mio-Pliocene,Arequipa,andesite,Peru,6.23,0.1,-70.281,-17.144,57.9,0.8,17.4,7.24,0.11,3.71,6.65,3.83,1.88,0.21,,,99.74,9,130,17,685,57,14,18,83,65,27,24,61,162,702,15,5.8,20.3,40.3,3.5,2.4
Mio-Pliocene,Arequipa,andesite,Peru,6.23,0.1,-70.281,-17.148,61.1,0.61,17.4,5.63,0.09,2.1,5.22,3.99,2.66,0.19,,,98.99,5,152,15,682,71,17,18,79,46,5,15,11,113,876,17,6.3,23,45.5,3.6,2.2
Mio-Pliocene,Arequipa,andesite,Peru,,,-70.139,-17.399,60,0.62,17.3,5.98,0.11,2.18,5.23,4.03,2.81,0.31,,,98.57,7,166,19,642,71,20,20,95,24,2,17,9,92,838,9,5.8,19,33.8,3.3,2.1
Mio-Pliocene,Arequipa,andesite,Peru,,,-69.616,-17.526,58.1,0.85,17.5,6.97,0.11,2.71,5.92,3.78,2.74,0.29,,,98.96,7,160,15,735,70,17,20,90,59,6,17,11,146,921,15,6.2,22.2,49,3.6,2.2
Mio-Pliocene,Arequipa,andesite,Peru,,,-69.77,-17.583,59.2,0.99,17.2,6.34,0.09,2.71,5.81,4.31,2.29,0.3,,,99.25,7,174,14,755,58,19,21,93,74,16,17,24,158,899,12,5.7,27.7,53.9,4.9,2.6
Mio-Pliocene,Arequipa,andesite,Peru,,,-71.6,-16.25,57.2,1.05,16.6,6.91,0.09,3.84,6.15,4.14,2.43,0.34,,,98.75,8,200,15,853,54,17,20,78,69,51,48,110,163,978,12,6.5,37,56.9,5.7,2.6
Mio-Pliocene,Arequipa,dacite,Peru,,,-71.395,-16.001,64.3,0.68,17,4.39,0.1,1.39,3.86,4.73,3.11,0.28,,,99.84,10,254,20,641,81,16,21,78,1,5,4,11,51,1142,7,6.7,22.8,32.1,3.4,2
Mio-Pliocene,Arequipa,basaltic andesite,Peru,,,-70.704,-16.047,52.81,1.31,15.22,8.93,0.12,7.57,7.61,3.13,2.4,0.44,,0.5,99.54,18.3,199.4,23.3,751.8,51.7,,21.4,97.5,30.6,151.4,36,529.9,198.4,885.6,,5.8,24.3,32.3,4.2,2.6
Mio-Pliocene,Arequipa,andesite,Peru,,,-71.183,-16.167,56.5,0.94,17.4,7.06,0.11,3.1,6.83,3.98,2.01,0.27,,,98.2,4,144,21,908,37,11,20,102,72,31,21,50,181,668,17,4.5,14.1,43.2,3.1,1.9
Mio-Pliocene,Arequipa,andesite,Peru,,,-71.213,-16.196,57.2,0.85,17.7,6.64,0.1,3.49,6.67,3.87,2.13,0.29,,,98.94,2,128,14,1007,24,10,24,85,61,25,18,46,161,705,17,4.8,22.8,71.9,4.7,2.2
Mio-Pliocene,Arequipa,andesite,Peru,,,-71.15,-16.336,60,0.85,17.1,6.48,0.09,2.31,5.47,3.98,2.52,0.24,,,99.04,9,163,20,638,61,15,22,79,53,21,19,20,150,949,16,6.6,25.1,31.9,3.8,2.3
Mio-Pliocene,Arequipa,andesite,Peru,,,-71.076,-16.264,57.4,0.93,17.1,6.67,0.1,3.59,6.5,3.91,2.23,0.28,,,98.71,7,142,15,953,36,10,23,87,94,44,22,62,164,682,10,5.2,23.9,63.5,4.6,2.5
Mio-Pliocene,Arequipa,andesite,Peru,6.71,0.57,-71.304,-16.375,56.2,1.05,17.2,7.59,0.12,3.64,6.94,3.8,1.84,0.28,,,98.65,5,144,18,777,37,9,22,87,47,19,23,33,180,717,22,4.3,15.2,43.2,3.5,2.3
Mio-Pliocene,Arequipa,rhyolite,Peru,,,-71.291,-16.581,70.4,0.3,15,2.35,0.05,0.77,2.31,4.04,4.16,0.1,,,99.47,9,157,9,458,117,26,18,53,53,11,6,19,44,1211,8,,,50.9,,
Mio-Pliocene,Arequipa,andesite,Peru,,,-71.344,-16.548,58,0.91,17.4,6.79,0.1,3.58,6.66,4.18,1.9,0.23,,,99.75,4,133,16,782,31,13,19,75,85,24,24,47,189,847,22,5.2,18.3,48.9,3.5,2.4
Mio-Pliocene,Arequipa,andesite,Peru,,,-71.165,-16.432,60.2,0.66,17.9,5.55,0.09,2.06,5.35,4.34,2.34,0.27,,,98.76,3,144,12,924,40,10,23,96,67,10,18,8,126,959,16,5.7,24.7,77,4.3,2.4
Mio-Pliocene,Arequipa,andesite,Peru,,,-69.77,-17.583,61.3,0.71,16.9,5.41,0.09,2.33,5.03,4.23,2.43,0.24,,,98.68,7,149,11,656,72,14,20,76,49,11,19,9,117,935,12,5.9,20.5,59.6,3.4,2.1
Pliocene,Arequipa,andesite,Peru,,,-71.6,-16.25,56.4,1,17.7,7.01,0.1,3.31,6.44,4.17,2.22,0.32,,,98.66,5,175,16,829,45,14,21,76,97,30,44,44,181,892,18,,,51.8,,
Pliocene,Arequipa,andesite,Peru,,,-71.6,-16.25,58.9,0.99,17.6,6.71,0.1,2.38,5.5,4.35,2.63,0.34,,,99.5,7,220,16,804,65,14,22,96,90,12,14,5,155,1002,16,6,26.5,50.3,4.4,2.3
Pliocene,Paracas,rhyolite,Peru,3.76,0.14,-72.883,-15.217,70.9,0.3,13.8,1.57,0.05,0.15,0.63,4.07,5.02,0.04,,,96.53,25,272,30,67,265,24,17,53,0,2,0,3,11,200,7,7.7,21.7,2.2,2.8,1.8
Pliocene,Paracas,dacite,Peru,,,-72.844,-15.548,64.2,0.66,16.6,2.86,0.07,0.6,1.13,2.96,4.67,0.1,,,93.85,16,506,35,163,168,27,21,70,14,8,5,11,30,1468,9,5.1,15.6,4.7,3,2
Pliocene,Paracas,rhyolite,Peru,3.16,0.04,-72.643,-15.704,70.4,0.4,15,2.13,0.08,0.45,1.01,4.76,4.45,0.07,,,98.75,12,329,20,158,146,17,19,65,3,,0,7,19,1464,0,6,11.4,7.9,1.9,1.5
Pliocene,Paracas,rhyolite,Peru,,,-71.353,-14.741,71.6,0.14,12.6,1.09,0.08,0.23,0.75,2.15,5.65,0.05,,,94.35,114,20,61,188,20,15,32,19,8,4,8,10,484,4,,,,3.1,,
Pliocene,Paracas,rhyolite,Peru,,,-71.27,-15.38,72.8,0.12,12.9,0.82,0.05,0.11,0.47,2.53,5.4,0.02,,,95.22,90,13,25,241,12,17,21,-2,6,2,7,4,80,6,,,,9.6,,
Pliocene,Paracas,rhyolite,Peru,,,-71.287,-15.383,54.93,0.94,18.06,7.58,0.08,1.72,5.71,3.62,4.46,0.43,,2.45,97.53,9.4,193.6,23,582.8,218.9,,20.3,79.2,40.1,13.3,22.5,38.3,182.4,852.1,,5.5,13.9,25.3,2.5,1.9
