SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O_105G_C,LOI,PC,Li,Sc,V,Co,Cr,Ni,Cu,Mo,Zn,W,Rb,Sr,Y,Nb,Zr,Cs,Cd,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Lu,Yb,Hf,Ta,Pb,Th,U,Au,In,Sn,Ag,Ge,As,Bi,Tl,Be,Ga,S,Sb,B,87_86Sr,Sr_error,143_144Nd,Nd_error,206_204Pb,206Pb_error,207_204Pb,207Pb_error,208_204Pb,208Pb_error,18O,edad_geol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8747,,15.6942,,38.7636,,,AlbianoSuperior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.885,,15.6726,,38.7069,,,AlbianoSuperior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8928,,15.6726,,38.7227,,,AlbianoSuperior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9126,,15.689,,38.7835,,,AlbianoSuperior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9211,,15.6951,,38.8118,,,AlbianoSuperior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9325,,15.7025,,38.8548,,,AlbianoSuperior
61.7,0.6,17.5,4.9,,0.1,2.2,4.3,3.9,3.1,0.2,,1.3,,11.7,11.7,88.4,8.8,114,9.3,16.2,2.3,2252.7,1.7,115.4,381.9,23.4,16.4,196.2,2,2.4,786,44.5,85.2,8.3,35.6,6.7,1.6,6.3,0.7,5.2,,2.8,0.3,0.3,2.5,0.6,3.3,74.2,12.7,2.4,,0.1,2.1,0.2,,28.9,0.5,0.6,2.3,16.2,,0.6,,,,,,,,,,,,,Carbonifero
67.1,0.4,16.9,0.53,2.4,0.1,1.1,4.4,3.9,1.7,,1.3,,,,29,302,41,70,8,,,,,455.7,183,34.5,10.8,92,1,,57,28,43,3.9,14.9,2.7,1,2.4,0.3,1.4,0.3,0.8,0.3,0.2,1.4,2.3,0.5,12,6.5,0.9,,,,,,,,,,21,,,,,,,,,,,,,,,Carbonifero
64.6,0.6,16.3,1.11,3.6,0.1,1.8,4.5,3.1,2.2,,2,,,,17,80,14,17,4,,,,,615.9,218,18.1,11.2,170,2.4,,99.9,23.8,44.6,5.2,21.6,3.9,1.2,3.8,0.5,3.9,0.7,2.2,0.3,0.3,2,5.4,0.9,9.4,7.7,0.8,,,,,,,,,,19,,,,,,,,,,,,,,,Carbonifero
59.9,0.8,16.2,0.52,5.6,0.1,2.6,4.3,3.2,2.7,0.2,2.4,,,,18,123,18,23,6,,,,,664.7,215,31.6,12.3,238,4.3,,110.2,20.1,49.1,6,23.3,5.3,1.1,5.2,0.8,5,1.1,3,0.4,0.5,3.2,5.8,0.7,10.4,3.9,1,,,,,,,,,,20,,,,,,,,,,,,,,,Carbonifero
69.7,0.5,14.5,1.77,1.2,0.1,0.9,2.6,3.8,3.7,0.1,0.5,,,,7,40,9,7,3,,,,,893.9,261,33.3,16.8,201,2.3,,158.3,46.4,93.6,10.6,40.9,7.6,1.1,6.5,0.9,6.4,1.3,3.5,0.6,0.6,3.1,6.4,1.3,15.1,18.1,3.3,,,,,,,,,,18,,,,,,,,,,,,,,,Carbonifero
74.6,0.1,13.2,0.93,0.5,0.1,0.1,0.6,4.3,4.2,0,0.9,,,,2,2,2,6,4,,,,,151.9,83,40.7,20.6,169,1.7,,865.1,40.4,62.1,9.5,38.6,7.5,0.9,7.4,1.2,10.1,1.6,4.5,0.5,0.7,3.3,5,1.2,17.7,13.2,3.3,,,,,,,,,,18,,,,,,,,,,,,,,,Carbonifero
73,0.3,13.9,1.16,0.6,0.1,0.4,1.2,4.8,3.6,0.1,0.6,,,,3,10,2,6,3,,,,,124.9,155,34.1,19,261,0.9,,1029.7,57.2,105.1,12,42,9.8,1.3,7.3,1,6.4,1.5,5,0.6,0.6,4.5,8.8,1,20.7,14,3.2,,,,,,,,,,18,,,,,,,,,,,,,,,Carbonifero
72.9,0.3,13.6,0.68,0.6,0.1,0.2,0.8,3.8,5,0,1.7,,,,3,6,3,2,2,,,,,141.2,95,13.7,14.8,219,0.8,,1820.1,88,162.6,17.7,70.2,10.5,1.7,5.7,0.6,2,0.5,2.4,0.1,0.3,0.8,6.9,0.6,16.2,18.4,2,,,,,,,,,,15,,,,,,,,,,,,,,,Carbonifero
69.6,0.4,14.4,1.1,1.6,0.1,0.9,2.6,3.5,3.7,0.1,2.2,,,,5,37,6,10,3,,,,,157.4,253,24.1,16.1,170,2.9,,796.8,38.3,72,7.9,27.5,5.7,0.9,4.6,0.5,4.4,0.9,2.2,0.2,0.6,2.3,6,1.7,11.5,18.3,4.3,,,,,,,,,,16,,,,,,,,,,,,,,,Carbonifero
63.8,0.7,16.1,2.36,2.1,0.1,1.9,4.1,3.7,3,0.2,1.8,,,,10,83,13,15,7,,,,,117.5,378,29.8,16.7,232,2,,975.2,32.8,17.4,6.8,13.6,5,2.4,6.5,0.5,7.8,1.5,1.7,0.4,0.2,1.8,5,1.7,7.4,17,2.7,,,,,,,,,,20,,,,,,,,,,,,,,,Carbonifero
67.5,0.4,15.5,0.89,1.8,0.1,1.5,1.7,3.8,3.9,0.1,2.9,,,,5,27,6,5,6,,,,,206.3,116,61.2,34.9,187,7,,286.1,74.1,146.6,14.2,46.9,9.7,1.1,7.8,1.3,9.1,1.8,6,0.8,1,6.6,5,4.5,3.7,15.3,3.4,,,,,,,,,,21,,,,,,,,,,,,,,,Carbonifero
71.8,0.2,14.6,0.86,1,0,0.5,2.3,3.4,4,0.1,0.7,,,,4,22,5,5,2,,,,,103.4,282,10.2,8.7,128,1,,817.5,20.2,38.5,3.7,14.7,2.2,0.5,2.1,0.2,1.5,0.3,0.9,0.1,0.2,1.4,2.9,0.8,13.4,11.1,1.9,,,,,,,,,,17,,,,,,,,,,,,,,,Carbonifero
73.7,0.2,14.3,0.79,0.7,0,0.3,1.3,3.8,4.4,0.1,0.4,,,,3,10,5,5,4,,,,,179.9,142,26.1,16.7,127,4.6,,809.9,39.1,72.6,7.8,26.8,5,0.7,4.4,0.7,4.6,0.9,2.6,0.4,0.4,2.8,3.9,1.4,50.4,15,5.5,,,,,,,,,,17,,,,,,,,,,,,,,,Carbonifero
58,1,16.9,6.35,,0.1,2.5,6.2,3.4,2.4,0.4,,0.7,,20,74,152,19.6,89,18,24,2,40,,94,609.4,28.7,12,48.6,4,0.5,700,44.5,88.9,10.9,41.2,6.4,1.6,7.3,1,4.7,0.9,2.6,0.4,0.3,2.4,10,,,9.7,1.8,,,2,,,,0.2,,,23,,,,,,,,,,,,,,,Carbonifero
48.5,1.2,13.7,3.31,7.8,0.2,8.6,10.9,1.3,1.5,0,0.2,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
48.2,0.9,17.3,2.84,6.5,0.2,6.7,11,2.2,1.4,0,0.3,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,,18,3.1,122,11,,,15,7,116.2,167,18,8,101.3,1.3,,1039.8,38.2,70.2,7,23,4.1,0.8,4,0.6,3.3,0.7,2.3,0.3,0.4,2.4,3,0.7,33,14.8,2.2,,,1,,1,,,0.6,,14,,,,,,,,,,,,,,,Carbonifero
66.9,0.4,15.7,1.42,2.9,0.1,1.2,4,4.1,2.1,0.3,0.2,,0.2,19,10,48,7.1,131,8,,,57,8,94.5,191.9,24.5,12,212.9,2.4,,666.8,42.3,85.6,9.2,33.7,6.1,1.3,6.4,0.9,5,1,3.2,0.4,0.4,2.8,4,0.6,15,10,1.2,,,2,,1,,,0.5,,18,,,,,,,,,,,,,,,Carbonifero
69.3,0.2,15.6,0.8,1.5,0.1,0.7,1.4,3.7,4.4,0.1,0.2,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
75.4,0.1,12.9,0.47,0.9,0,0.2,0.6,3.2,5.6,0.1,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,82,21,155,24,96,58,,6,58,2,191.8,77,54.7,28,210.7,7,,480.3,50.9,96.9,12.9,50.1,10.1,2.2,9.2,1.6,9.3,1.9,5.9,0.8,0.7,5,7,1.9,8,15.5,2.8,,,5,,3,,0.2,0.9,,24,,,,,,,,,,,,,,,Carbonifero
49.9,1.1,15.3,8.23,,0.1,6.9,8.5,3.4,0.1,,0.5,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
55.7,0.8,14.5,6.84,,0.2,6.7,12.9,2.2,0.4,,0.3,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,19,171,12.6,100,26,27,11,31,2,26.7,271.8,22.8,6,103.5,1.2,,162.1,20,36.3,5.1,20.8,4.4,1.4,4,0.7,4,0.8,2.5,0.3,0.4,2.4,3,,,6.4,1.5,,,1,,2,,0.6,,,17,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,13,,6,1.2,224,51,6,25,31,7,241.3,18.3,49.3,17,84.9,3.5,,116.6,9.6,24.6,3.4,14.3,4.6,0.3,4.8,1.1,7.5,1.6,5.1,0.7,0.8,5.1,4,1.4,22,16.7,5.2,,,4,,2,,0.3,1.4,,16,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,10,24,4.4,244,43,9,25,34,7,155.5,157,39.7,15,163.4,3.1,,909,43.5,78.3,10.1,37.8,7.5,1.5,7,1.2,7,1.4,4.4,0.6,0.6,4.1,5,1.1,23,14.1,3.4,,,7,,2,,,0.7,,17,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,,,1.6,181,,,2,16,13,182.5,30.4,40.7,18,97.6,1.6,,180.5,17.6,46.5,5.9,23.8,6.9,0.4,8,1.3,8.2,1.7,5.5,0.7,0.7,5.2,4,1.2,54,18.2,4.5,,,2,,2,,,1,,17,,,,,,,,,,,,,,,Carbonifero
53.2,1.1,15.5,3.1,6.2,0.2,5.2,8.3,2.1,1.9,0.2,0.3,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,,,1.3,115,11,,,45,8,225.7,37.1,52.2,14,78.8,2.9,,287.8,24.1,48.7,7,28.5,7.7,0.7,9.2,1.4,9.4,2,6.4,0.8,0.8,5.7,4,1.1,23,16.1,3.9,,,3,,2,,0.1,1.2,,18,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,,,3,162,12,,,,11,102.4,21.5,38.7,17,101.4,0.5,,227.4,6.3,17.7,2.3,10.4,3.8,0.3,5.7,1.1,7.6,1.7,5.4,0.7,0.6,4.9,5,1.5,22,15.5,5,,,6,,,,0.4,0.6,,11,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,,322,33.4,,18,48,3,127,2,48.5,304,30.8,8,94.1,1,,380,17.3,37.1,5,21.6,5,1.5,5.4,0.9,5.3,1.1,3.2,0.5,0.5,3,3,0.6,,4,0.9,,,1,,,,,,,21,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,,17,2.6,,14,16,4,183,1,121,143,37.6,13,181,1.4,,767,54,110,12.4,46.9,8.8,1.8,7.9,1.4,7.3,1.5,4.1,0.6,0.6,3.9,6,1,,14.3,2.3,,,3,,,,,,,19,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,25,30,293,30.2,,10,,,86,5,39.7,143.3,36.6,9,127.4,0.6,,172.4,25,47.6,6.8,27.4,6.6,1.7,6.6,1.3,7.6,1.4,4.2,0.6,0.6,3.8,4,0.6,,4,1.2,,,4,,2,,0.6,,,18,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,25,5,67,8.2,15,5,,3,57,,96,756,14,14,98.4,3,,740.7,22.1,38.8,5.3,21.7,4.4,1.3,3.8,0.6,2.8,0.5,1.5,0.2,0.2,1.3,3,1,11,3.6,1.7,,,1,,2,,,,,20,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,,42,5.4,,13,15,4,70,2,143,123,49.4,15,251,2.7,,653,42.4,88.1,10.5,39.2,8.3,1.6,7.9,1.5,8.6,1.8,5.5,0.8,0.9,5.6,8,1.5,,18.4,4.5,,,4,,,,,0.5,,20,,,,,,,,,,,,,,,Carbonifero
51,1,11,12.7,,0.3,8.3,10,1.9,1,,0.9,0.8,,,,,,,,,,,,35,106,,,,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
74.3,0.1,13.1,0.95,0.8,0.5,0.1,0.5,2.8,5,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,6,9,2.2,97,14,,,49,6,141,49.8,32.3,15,148.1,2.2,,764.7,49.5,100.5,11.5,42.7,7.9,1.4,7.7,1.2,6.4,1.4,3.9,0.5,0.5,3.7,5,0.9,9,13.9,3,,,3,,1,,0.1,0.7,,16,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,8,22,3.4,52,,13,,41,5,168.4,81.5,37.2,17,179.3,2.5,,778.4,38,82.5,9.6,35.8,7.6,1.2,7.8,1.3,7.4,1.6,4.7,0.6,0.6,4.5,6,1.1,14,15.8,3.4,,,4,,1,,0.3,0.9,,17,,,,,,,,,,,,,,,Carbonifero
