Ba,Ce,Cr,Cs,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Lu,Nb,Nd,Pr,Rb,Sm,Sn,Sr,Ta,Tb,Th,Tm,U,V,W,Y,Yb,Zr,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,LOI,Total,Ag,As,Cd,Co,Cu,Li,Mo,Ni,Pb,Sc,Tl,Zn,AreaID
80.2,21.8,360,0.06,4.93,2.38,1.55,19.5,5.47,3.4,0.9,8.5,0.27,7.6,16.1,3.33,5.3,4.87,1,309,0.5,0.77,0.5,0.3,0.2,290,1,25.3,1.93,125,51.3,13.3,12.35,10.1,8.2,2.26,0.4,0.051,2.03,0.18,0.24,0.04,0.01,-0.5,99.89,0.5,5,0.6,46,120,10,1,146,2,28,10,105,plume
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.2,23.4,290,0.03,5.34,2.59,1.61,21.1,5.63,3.6,0.95,9,0.28,8.5,17.4,3.45,5.5,4.95,1,325,0.6,0.81,0.6,0.3,0.2,302,1,26.6,2.17,132,50.8,13.5,12.55,10.3,7.2,2.32,0.4,0.04,2.08,0.18,0.23,0.04,0.01,-0.6,98.93,0.5,5,1,44,133,10,1,91,2,29,10,107,plume
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.6,21.7,430,0.07,4.68,2.39,1.67,19.9,5.55,3.3,0.87,8.3,0.28,7.7,16.9,3.17,5.3,5.06,1,303,0.6,0.8,0.5,0.31,0.2,286,1,24.4,1.86,122,50.5,12.8,12.35,9.7,9.1,2.21,0.4,0.062,1.92,0.18,0.23,0.03,0.01,-0.6,98.79,0.5,5,1.2,49,128,10,1,218,2,28,10,106,plume
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,48.4,20,3.45,2.37,1.53,0.93,17.9,2.65,3.6,0.46,26.6,0.22,8.3,18.3,5.08,86,3.72,1,439,0.8,0.4,13.1,0.2,3.7,102,3,15,1.62,124,64.7,16.8,5.19,4.8,1.9,3.38,2.8,0.003,0.51,0.09,0.14,0.05,0.1,0.7,101.11,0.5,5,0.5,9,16,30,1,5,16,9,10,58,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,35.1,10,2.24,1.49,0.87,0.82,16.5,1.53,2,0.26,19.9,0.14,5,11.9,3.52,70.9,1.85,1,482,0.7,0.23,11.7,0.13,2.5,48,2,8.8,0.84,71,67.7,17.2,2.63,4.8,1,3.83,2.3,0.002,0.23,0.05,0.07,0.06,0.07,0.7,100.45,0.5,5,0.5,5,5,10,1,3,20,4,10,29,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,18.5,10,4.58,1.58,1.09,0.27,16.7,1.32,2,0.31,10,0.24,14.5,6.9,1.99,327,1.43,1,66,1.7,0.24,24.4,0.17,9.6,8,6,12.3,1.45,48,76.1,13.4,1.45,0.7,0.1,3.54,5.2,0.002,0.07,0.04,0.01,0.01,0.02,0.4,101.04,0.5,5,0.5,1,6,20,1,1,39,1,10,10,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,74.7,30,1.68,3.11,1.78,1.15,20.6,4.34,5.5,0.58,40.2,0.21,13.5,30.9,8.02,87.2,5.38,1,632,1.2,0.53,13.5,0.24,2.9,100,1,18.2,1.55,225,63.7,16,5.51,4.3,2.2,4.02,2.7,0.004,0.68,0.08,0.2,0.07,0.1,0.9,100.41,0.5,5,0.5,13,9,30,1,11,10,8,10,65,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,73.5,50,2.68,3.9,2.16,0.94,20,4.55,5.9,0.73,35.6,0.28,12.9,29.6,8.29,131,5.97,3,375,1.4,0.6,22,0.3,7.5,87,1,22.5,1.95,187,66.4,13.8,4.2,3,2.2,3.32,4,0.006,0.64,0.05,0.17,0.04,0.12,2.3,100.25,0.5,5,0.5,8,2,20,2,10,8,8,10,25,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,123,10,4.22,9.88,5.79,0.12,23.8,9.47,11.2,1.81,58.2,0.82,23.8,55.4,14.15,197.5,11.55,2,19,1.8,1.57,19.9,0.83,5.5,7,3,58.1,5.53,362,76.8,12.2,2.33,0.5,0.3,3.85,5.1,0.002,0.12,0.04,0.06,0.01,0.01,0.8,101.98,0.5,14,0.5,1,4,50,2,3,21,1,10,75,subduction
