SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5
59.74,0.96,16.92,6.57,0.09,3.83,5.9,4.41,2.06,0.26
61.78,0.64,16.89,5.25,0.08,2.78,4.98,4.05,2.69,0.2
63.59,0.93,15.48,3.56,0.08,1.62,3.84,4.61,3.36,0.39
59.55,1.07,16.66,5.34,0.08,2.42,5.2,4.55,2.94,0.44
56.96,1.54,15.93,3.85,0.09,3.33,5.82,4.3,2.7,0.58
75.21,0.12,12.59,0.88,0.09,0.16,0.6,3.48,5.33,0.03
65.86,0.46,13.08,3.53,0.11,2.56,3.93,3.12,4.63,0.3
74.76,0.12,12.63,0.89,0.06,0.11,0.43,2.58,6.49,0.03
72.8,0.14,13,0.96,0.04,0.12,0.69,2.55,6.4,0.05
74.5,0.11,12.3,0.77,0.06,0.08,0.46,2.57,6.34,0.02
74.74,0.13,12.19,0.78,0.03,0.14,0.77,4.45,4.81,0.02
74.99,0.11,12.78,0.8,0.09,0.07,0.38,3.14,5.79,0.02
76.27,0.11,12.38,0.67,0.05,0.09,0.55,3.35,5.28,0.02
75.79,0.11,12.57,0.76,0.07,0.09,0.38,3.4,5.3,0.02
75.78,0.1,12.95,0.65,0.07,0.04,0.28,3.43,5.45,0.02
75.09,0.14,13.5,0.87,0.05,0.07,0.53,2.35,6.49,0.05
74.94,0.15,12.72,0.96,0.05,0.21,0.71,3.92,5,0.03
76.03,0.11,12.44,0.67,0.04,0.07,0.49,2.89,6.03,0.02
75.56,0.11,12.57,0.72,0.05,0.05,0.41,2.29,6.55,0.02
84.06,0.09,9.47,0.52,0.01,0.03,0.36,3.02,3.52,0.01
72.76,0.31,14.07,1.88,0.03,0.42,1.38,4.31,4.72,0.09
74.07,0.12,12.7,0.83,0.06,0.07,0.68,3.04,5.96,0.02
75.54,0.1,12.6,0.7,0.09,0.12,0.43,3.73,4.86,0.01
74.74,0.1,12.84,0.71,0.07,0.06,0.4,3.06,6.26,0.04
75.37,0.12,12.72,0.79,0.04,0.07,0.53,2.09,6.58,0.03
74.08,0.1,12.26,0.75,0.13,0.06,0.35,2.92,5.2,0.01
74.85,0.12,12.69,0.79,0.04,0.04,0.53,2.13,6.54,0.02
75.63,0.11,12.36,0.67,0.04,0.07,0.49,2.86,6.02,0.02
75.18,0.12,12.72,0.78,0.04,0.05,0.53,2.15,6.57,0.03
77.23,0.11,12.58,0.6,0.04,0.08,0.5,2.93,6.08,0.02
76.65,0.12,12.94,0.82,0.04,0.07,0.54,2.18,6.62,0.02
77.11,0.11,12.58,0.67,0.04,0.06,0.5,2.88,6.05,0.02
75.46,0.12,12.79,0.8,0.04,0.04,0.53,2.07,6.59,0.02
60,0.67,17.4,5.71,0.11,2.02,5.17,4.26,2.57,0.39
53.8,1.09,16.8,7.64,0.11,4.39,7.08,3.7,2.57,0.47
56.5,0.95,17.6,7.47,0.12,3.04,6.39,4.25,2.32,0.38
58.5,0.7,17.7,4.64,0.17,1.49,6.66,5.46,1.99,0.22
52.9,1.44,17,9.07,0.12,5.62,7.65,3.96,1.56,0.4
63,0.47,17.4,4.58,0.1,0.77,3.48,4.3,3.28,0.21
60.7,0.93,15.8,5.35,0.05,1.6,4.51,4.17,3.33,0.39
53.3,1.52,16,8.14,0.13,3.07,7.65,3.81,2.5,0.52
56.5,0.89,16.8,7.75,0.13,4.4,7.25,3.51,1.76,0.24
65.9,0.69,16.1,3.33,0.06,0.5,2.68,4.06,4.74,0.19
62.4,0.71,15.5,5.26,0.08,2.5,4.63,3.57,3.57,0.21
58.8,0.94,17,6.87,0.09,3.14,6.15,3.68,2.51,0.28
56.4,1.3,17,8.32,0.13,3.01,6.01,3.96,2.49,0.37
58.1,1.01,16.8,7.19,0.1,3.25,6.25,3.85,2.49,0.3
58.4,0.87,17.2,6.45,0.09,3.53,6.15,3.99,2.17,0.26
58,0.83,16.4,7.03,0.11,4.3,6.44,3.58,1.84,0.22
60.2,0.82,17.3,6.21,0.09,2.7,5.58,4.18,2.3,0.25
62.1,0.64,16.6,4.99,0.08,2.4,4.86,4.19,2.64,0.21
60.1,0.73,17.9,5.9,0.1,2.39,5.79,4.48,2.02,0.28
61.2,0.85,16.2,5.96,0.09,2.39,4.84,4.06,2.93,0.28
57.9,0.8,17.4,7.24,0.11,3.71,6.65,3.83,1.88,0.21
61.1,0.61,17.4,5.63,0.09,2.1,5.22,3.99,2.66,0.19
60,0.62,17.3,5.98,0.11,2.18,5.23,4.03,2.81,0.31
58.1,0.85,17.5,6.97,0.11,2.71,5.92,3.78,2.74,0.29
59.2,0.99,17.2,6.34,0.09,2.71,5.81,4.31,2.29,0.3
57.2,1.05,16.6,6.91,0.09,3.84,6.15,4.14,2.43,0.34
64.3,0.68,17,4.39,0.1,1.39,3.86,4.73,3.11,0.28
52.81,1.31,15.22,8.93,0.12,7.57,7.61,3.13,2.4,0.44
56.5,0.94,17.4,7.06,0.11,3.1,6.83,3.98,2.01,0.27
57.2,0.85,17.7,6.64,0.1,3.49,6.67,3.87,2.13,0.29
60,0.85,17.1,6.48,0.09,2.31,5.47,3.98,2.52,0.24
57.4,0.93,17.1,6.67,0.1,3.59,6.5,3.91,2.23,0.28
56.2,1.05,17.2,7.59,0.12,3.64,6.94,3.8,1.84,0.28
70.4,0.3,15,2.35,0.05,0.77,2.31,4.04,4.16,0.1
58,0.91,17.4,6.79,0.1,3.58,6.66,4.18,1.9,0.23
60.2,0.66,17.9,5.55,0.09,2.06,5.35,4.34,2.34,0.27
61.3,0.71,16.9,5.41,0.09,2.33,5.03,4.23,2.43,0.24
56.4,1,17.7,7.01,0.1,3.31,6.44,4.17,2.22,0.32
58.9,0.99,17.6,6.71,0.1,2.38,5.5,4.35,2.63,0.34
70.9,0.3,13.8,1.57,0.05,0.15,0.63,4.07,5.02,0.04
64.2,0.66,16.6,2.86,0.07,0.6,1.13,2.96,4.67,0.1
70.4,0.4,15,2.13,0.08,0.45,1.01,4.76,4.45,0.07
71.6,0.14,12.6,1.09,0.08,0.23,0.75,2.15,5.65,0.05
72.8,0.12,12.9,0.82,0.05,0.11,0.47,2.53,5.4,0.02
54.93,0.94,18.06,7.58,0.08,1.72,5.71,3.62,4.46,0.43
62.9,0.57,14.8,2.57,0.07,1.12,1.82,5.07,4.05,0.11
73.3,0.29,14.1,1.52,0.06,0.23,0.64,4.57,4.76,0.04
70.4,0.36,14.3,1.87,0.06,0.36,0.91,4.48,4.86,0.06
70.5,0.35,14.2,1.88,0.06,0.35,0.92,4.56,4.82,0.06
72.7,0.14,13,0.92,0.06,0.12,0.62,3.63,4.84,0.02
69.1,0.34,13.9,2.56,0.08,0.66,2.32,3.96,3.46,0.1
73,0.26,13.8,1.77,0.1,0.37,1.22,4.56,4.05,0.08
72.9,0.28,13.8,1.91,0.09,0.28,1.43,4.56,3.85,0.09
66.26,0.44,15.03,2.64,0.05,0.83,2.12,3.35,3.62,0.07
70.4,0.33,14.1,1.59,0.07,0.32,0.96,4.84,4.58,0.06
73.5,0.24,13.7,1.7,0.09,0.25,1.17,4.38,4.18,0.07
72.7,0.29,13.9,2,0.1,0.43,1.55,4.6,3.77,0.08
71.1,0.25,12,2.21,0.11,0.42,2.2,4.15,4.3,0.1
46.9,0.08,8.3,0.57,0.04,0.57,6.3,8.99,3.07,0.02
72.5,0.14,12.5,1.01,0.07,0.18,0.94,3.88,4.24,0.03
70.2,0.18,12.9,1.21,0.07,0.27,0.93,3.73,4.68,0.05
73.2,0.15,12.5,0.91,0.05,0.17,0.75,3.17,5.36,0.02
72.6,0.19,13.4,1.17,0.08,0.23,0.97,4.23,4.18,0.04
73,0.18,13.3,1.15,0.07,0.2,0.98,4.18,4.19,0.04
72.5,0.18,13.1,1.16,0.07,0.24,0.95,4.1,4.23,0.04
72.3,0.15,12.7,1.01,0.08,0.16,0.71,3.74,4.41,0.03
73.4,0.15,12.8,0.87,0.06,0.15,0.79,3.08,5.18,0.02
72.4,0.19,13.1,1.28,0.08,0.22,0.93,3.69,4.47,0.04
71.4,0.22,13.3,1.42,0.08,0.29,1.03,3.89,4.23,0.04
72.1,0.18,13.3,1.16,0.08,0.29,1.03,3.84,4.3,0.04
74.7,0.17,13.6,1.15,0.03,0.11,0.69,4.02,4.78,0.01
71.3,0.15,13.5,0.95,0.06,0.2,0.63,2.11,6.35,0.02
72.8,0.15,12.4,0.97,0.05,0.13,0.75,4.17,4.66,0.02
73.2,0.15,12.2,0.97,0.05,0.12,0.67,3.06,5.43,0.03
73.3,0.14,12.5,0.94,0.06,0.1,0.59,3.33,5.31,0.02
71.7,0.22,13.1,1.38,0.08,0.42,1.27,3.32,4.5,0.06
70.2,0.17,13.6,1.15,0.07,1.15,1.06,2.62,4.34,0.05
73.5,0.15,12.8,0.79,0.06,0.21,0.9,2.95,5.23,0.03
71.8,0.15,12.6,0.97,0.07,0.19,1.02,3.86,4.19,0.03
60,0.5,14.3,4.58,0.14,2.02,5.92,3.15,3.2,0.18
73.5,0.15,12.7,0.98,0.06,0.13,0.66,3.64,4.95,0.02
71.2,0.15,12.7,0.93,0.08,0.46,0.65,2.92,5.14,0.04
70.5,0.26,14.6,1.54,0.08,0.36,1.3,3.81,4.77,0.06
59.7,0.77,17.9,6.28,0.1,2.21,5.23,4.44,2.63,0.33
72.4,0.14,12.7,1.1,0.07,0.2,0.7,2.92,5.27,0.03
65.63,0.84,16.38,5.15,0.09,2.14,4.23,3.99,2.47,0.26
55.28,1.04,18.74,8.02,0.11,3.58,7.58,3.25,1.98,0.25
58.07,0.92,18.15,7.09,0.1,3.11,6.44,3.7,2.48,0.26
56.9,1.04,16.95,7.5,0.11,3.76,6.84,3.12,2.1,0.21
63,0.75,16.08,5.36,0.08,2.39,4.88,3.17,3.23,0.17
61.7,0.88,16.04,5.56,0.09,2.78,5.21,3.44,3.04,0.18
57.7,1.2,17.08,7.09,0.1,3.24,6.5,4.05,2.06,0.3
56.8,0.86,18.1,,0.12,3.11,7.01,3.73,1.81,0.21
55.76,0.95,17.7,4.63,0.13,3.07,6.47,4.2,1.49,0.27
56.91,1.03,18.05,4.41,0.13,2.6,6.59,4.36,1.68,0.32
64.64,0.55,17.73,,0.06,1.56,4.35,4.4,2.76,0.25
64.23,0.45,17.26,,0.05,1.38,4.71,4.81,2.73,0.19
61.68,0.76,17.74,,0.09,2.14,6.51,4.08,1.93,0.3
61.97,0.67,16.65,,0.09,2.4,5.61,3.66,2.6,0.22
58.34,0.85,17.68,,0.15,3.49,6.47,3.66,2.02,0.23
59.3,0.78,17.37,6.22,0.1,3.45,6.32,3.57,2.16,0.24
63.8,0.73,16.55,,0.08,1.64,4.41,4.65,2.58,0.22
63.06,0.82,16.4,,0.08,2.28,4.87,4.34,2.61,0.29
60.75,0.69,17.27,6.14,0.11,2.41,5.59,3.78,2.44,0.22
58.66,0.75,18.04,7.24,0.14,2.84,6.55,3.66,1.81,0.22
61.45,0.69,17.67,5.97,0.11,2.1,5.32,4.24,2.5,0.24
66.22,0.51,15.9,4.02,0.07,1.51,3.72,3.63,3.75,0.15
62.32,0.86,15.55,2.24,0.08,2.09,4.37,3.34,3.78,0.26
60.33,0.93,16.32,2.56,0.09,2.44,4.98,3.81,3.04,0.32
61.76,0.81,15.99,3.01,0.08,2.28,4.71,3.76,3.02,0.27
63.03,0.7,15.76,2.92,0.08,2.06,4.35,3.76,2.94,0.22
73.74,0.19,14.32,1.02,0.05,0.29,0.96,5,4.62,0.06
62.95,0.62,17.25,2.02,0.11,2.05,4.84,3.89,2.84,0.21
59.54,0.72,18,2.37,0.1,2.45,5.79,3.99,2.23,0.23
61.95,0.55,17.42,1.14,0.1,1.78,4.86,4.03,2.7,0.26
58.81,0.74,18.17,4.14,0.1,2.62,6.05,4.1,1.97,0.23
56.69,0.71,17.64,2.45,0.1,3.51,6.57,4.32,1.45,0.29
56.36,0.72,18.86,3.43,0.1,2.93,6.71,3.65,1.55,0.27
56.76,0.95,17.75,4.2,0.13,2.92,6.62,3.92,1.82,0.28
63.16,0.57,16.52,1.85,0.07,2.01,4.42,3.94,3.05,0.17
61.53,0.82,16.3,3.12,0.08,2.4,5,3.74,2.89,0.26
53.16,0.98,17.35,2.84,0.14,5.57,8.57,3.14,1.43,0.24
57.62,0.67,19.06,2.73,0.11,2.54,6.53,4.41,1.45,0.21
57.63,0.96,18.54,4.28,0.12,3.03,6.77,3.9,1.83,0.21
53.52,1.21,18.18,2.98,0.11,5.07,7.95,3.64,1.39,0.3
73.58,0.27,13.15,1.55,0.07,0.47,1.06,3.62,4.73,0.03
61.74,0.67,17.43,6.1,0.11,2.26,5.58,3.83,2.5,0.21
63.24,0.68,15.89,4.34,0.08,1.75,4.24,4.21,3.05,0.2
63.03,0.47,14.23,3.43,0.05,1.06,2.5,2.14,4.28,0.19
66.5,0.44,15.13,3.11,0.11,1.24,2.94,2.99,3.66,0.13
70.2,0.23,14.49,1.65,0.08,1.04,2.24,3.05,3.57,0.06
73.2,0.18,12.91,1,0.06,0.17,0.8,3.69,5.16,0.03
73.5,0.17,13.4,0.88,0.07,0.15,0.79,3.58,5.07,0.03
74,0.16,13.04,0.81,0.06,0.16,0.83,3.06,4.96,0.03
74.1,0.1,13.3,0.75,0.07,0.13,1.12,3.42,4.38,0.04
74.3,0.18,13.2,1.08,0.07,0.28,1.21,4,4.57,0.04
68.5,0.3,14.97,1.85,0.09,0.84,1.86,3.05,4.27,0.11
71.1,0.27,13.68,2.26,0.09,0.82,0.93,2.27,4.65,0.08
71.8,0.11,12.29,0.71,0.08,0.15,1.5,2.86,4.91,0.02
72.7,0.1,13.16,0.73,0.09,0.18,0.68,3.01,4.88,0.05
73,0.11,12.5,0.72,0.08,0.09,1.58,2.84,5.43,0.03
73.6,0.11,12.61,0.71,0.07,0.19,0.8,3.18,5.2,0.02
74.4,0.15,12.62,0.85,0.07,0.39,0.68,5.1,2.92,0.02
74.8,0.13,12.63,0.54,0.07,0.08,0.55,2.72,5.87,0.03
75.7,0.15,12.62,0.88,0.06,0.15,0.8,4,4.56,0.03
69.9,0.22,14.2,1.56,0.05,0.68,1.55,3.05,5.16,0.06
70.4,0.22,13.06,1.6,0.1,0.61,1.67,2.88,5.48,0.08
71.2,0.16,14.2,1.1,0.1,0.6,1.24,2.38,5.1,0.06
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
61.6,0.77,17,5.24,0.12,1.74,4.25,4.49,3.28,0.38
49.6,0.97,15.1,9.1,0.15,7.34,9.26,2.19,3.03,0.34
54.6,0.72,16,6.39,0.08,2.83,5.79,3.2,2.21,0.19
66.7,0.65,15.6,3.73,0.09,0.98,2.64,4.35,4.7,0.23
50.7,1.23,16.6,9.52,0.13,6.62,9.09,3.07,1.33,0.22
53.4,1,17,8.16,0.14,3.93,7.46,3.46,3.04,0.4
58.1,0.82,15.3,6.89,0.21,3.52,5.6,3.02,2.93,0.27
59.8,0.9,16.4,5.88,0.12,2.57,5.28,3.48,3.46,0.3
51.9,1.04,16.1,8.47,0.14,6.34,8.1,3.26,1.69,0.29
58.4,0.71,17.7,6.52,0.12,3.06,6.62,3.95,2.01,0.22
61,0.88,15.8,6.06,0.09,2.69,4.7,3.52,3.91,0.26
57.8,0.73,18.3,7.04,0.13,2.76,6.61,4.18,1.31,0.22
71.5,0.37,14.8,1.52,0.03,0.17,1.32,4.58,4.45,0.12
65.18,0.61,15.49,4.22,0.03,1.76,3.46,4.25,3.7,0.28
65.11,0.65,15.79,4.15,0.04,1.79,3.49,4.48,3.92,0.21
65.21,0.62,15.99,4.43,0.02,1.76,3.1,4.04,3.99,0.22
75.09,0.12,11.31,0.75,0.01,0.1,0.53,0.88,6.88,0.04
51.12,1.05,14.3,9.46,0.13,4.79,8.88,2.39,4.99,0.56
49.69,1.11,16.68,9.86,0.15,6.17,9.26,2.79,2.86,0.55
57.56,1.06,16.27,6.02,0.05,3.22,5.21,3.57,3.2,0.35
64.95,0.72,15.24,5.17,0.12,1.95,3.29,3.23,4.18,0.34
52.46,1.36,16.25,9.67,0.13,5.29,7.74,2.98,1.97,0.42
77.25,0.17,11.39,1.28,0,0.1,0.23,1.79,6.09,0.08
65.05,0.21,12.54,1.5,0.01,0.6,4.22,0.96,2.52,0.07
70.76,0.12,13.42,1.03,0.08,0.51,0.62,2.22,5.73,0.08
70.52,0.35,14.54,2.51,0.04,0.57,1.52,3.28,4.81,0.13
70.06,0.41,15.17,2.64,0.03,0.58,1.69,3.63,4.76,0.11
68.84,0.44,15.42,2.81,0.05,0.66,1.8,3.6,4.49,0.09
63.3,0.34,13.81,3.9,0.06,2.2,3.42,0.11,4.49,0.19
65.15,0.36,12.9,2.51,0.03,0.96,3.37,1.4,3.04,0.09
63.22,0.17,11.94,1.41,0.13,0.48,3.04,1.42,3.11,0.03
63.77,0.62,17.96,3.87,0.08,0.91,1.66,3.88,4.68,0.17
69.96,0.42,14.55,2.52,0.03,0.65,1.74,3.39,4.54,0.11
64.21,0.2,12.02,1.44,0.1,0.35,3.33,1.55,3.03,0.12
59.95,0.55,18.47,4.4,0.08,0.52,0.67,2.16,11,0.2
72.28,0.24,14,1.66,0.03,0.19,0.64,2.24,7.24,0.15
69.21,0.38,14.61,2.63,0.02,0.45,1.48,3.34,4.52,0.94
69.11,0.4,15.31,2.86,0.07,0.58,1.67,3.37,4.54,0.2
69.79,0.38,14.79,2.87,0.02,0.62,1.53,3.23,4.58,0.16
67.9,0.46,14.3,2.84,0.07,0.35,1.51,3.27,5.56,0.08
59.8,0.4,15.4,3.2,0.07,1.55,6.84,3.08,4.28,0.14
67.33,0.33,14.71,1.65,0.09,0.3,0.88,2.82,5.96,0.04
71.8,0.28,15.4,1.93,0.04,0.16,0.67,3.01,3.99,0.06
71.7,0.28,15.4,1.96,0.04,0.17,0.68,3.03,3.95,0.06
69.8,0.11,11.7,0.77,0.09,0.18,2.42,3.45,4.46,0.04
72.7,0.28,13.8,2.04,0.09,0.51,1.6,3.91,4.17,0.08
63.6,0.58,15.2,5,0.1,2.06,3.88,3.02,3.63,0.21
64.2,0.38,14.9,2.87,0.08,2.01,3.26,3.08,3.01,0.12
70.2,0.16,12.1,1.08,0.07,0.5,1.34,2.61,5.19,0.02
71.7,0.16,13,1.11,0.08,0.48,0.68,2.66,5.25,0.02
72.2,0.22,14.5,1.7,0.04,0.27,1.05,4.59,4.57,0.05
69.7,0.13,13.3,1.04,0.08,0.25,1.11,3.18,4.67,0.05
71.4,0.19,13.3,1.27,0.08,0.31,0.96,3.79,4.27,0.05
72.3,0.27,13.7,2.32,0.09,0.39,1.26,4.17,4.78,0.05
72.1,0.18,13.2,1.14,0.07,0.26,1.03,3.93,4.1,0.04
71.1,0.16,13.1,1.12,0.06,0.52,0.69,2.61,5.31,0.02
69.8,0.19,14.6,1.42,0.06,0.23,0.71,1.76,4.65,0.03
,,,,,,,,,
61.4,0.61,16,5.38,0.09,2.07,4.81,3.49,2.69,0.18
71.1,0.21,13.1,1.47,0.07,0.42,1.25,2.72,5.02,0.06
80,0.1,8.9,0.79,0.05,0.09,0.53,2.08,3.52,0.02
,,,,,,,,,
59.9,0.76,17.58,,0.08,2.66,6.29,4.04,2.05,0.23
51.19,1.27,18.96,,0.17,3.49,9.3,3.59,1.39,0.33
61,0.63,17.49,,0.11,2.13,5.68,3.61,2.24,0.19
61.65,0.56,17.78,,0.1,1.85,4.88,3.48,2.71,0.23
58.29,0.63,18.27,,0.1,2.01,6.1,3.59,2.01,0.25
71.78,0.21,14.14,1.15,0.1,0.47,0.77,2.76,5.34,0.06
72.09,0.21,14.21,1.16,0.1,0.43,0.86,2.78,5.11,0.06
65.79,0.68,16.72,5.05,0.1,2.05,4.33,3.7,3.33,0.18
64.55,0.62,16.09,4.78,0.09,1.86,3.39,2.89,4.08,0.16
74.85,0.21,14.01,1.23,0.05,0.26,1.01,4.68,3.79,0.06
75.43,0.22,14.1,1.23,0.05,0.24,1.01,4.72,3.8,0.06
71.36,0.39,13.54,2.18,0.05,0.81,1.72,3.28,5.26,0.19
71.16,0.4,13.88,2.23,0.04,0.86,1.72,2.93,5.52,0.15
73.78,0.09,12.74,0.72,0.06,0.06,0.83,2.18,5.8,0.01
74.45,0.09,12.83,0.74,0.06,0.05,0.77,2.68,5.67,0.02
74.38,0.09,12.91,0.7,0.07,0.05,0.76,2.21,6.11,0.02
73,0.09,12.51,0.7,0.07,0.05,0.75,2.25,5.87,0.01
74.63,0.13,12.73,0.99,0.05,0.16,0.87,2.05,6.02,0.02
65.31,0.52,16.53,3.9,0.07,1.06,2.73,3.2,4.72,0.02
72.89,0.39,13.27,2.21,0.04,0.76,1.72,3.9,4.13,0.13
56.9,0.66,18.52,,0.14,3.03,7.16,3.61,1.18,0.23
58.4,0.64,18.3,,0.14,2.85,6.68,3.45,1.67,0.22
61,0.53,17.6,,0.12,2.22,5.76,3.45,2.06,0.22
57.8,0.66,18.2,,0.15,3.25,7.15,3.41,1.45,0.22
75.53,0.13,12.58,0.76,0.05,0.15,0.63,2.45,5.63,0.05
62.98,0.54,15.49,4.31,0.08,1.29,6.17,3.42,3.08,0.15
62.62,0.14,14.05,0.95,0.13,3.65,1.96,2.1,1.72,0.03
67.32,0.07,10.52,0.76,0.11,1.06,7.38,1.11,1.31,0.03
66.14,0.06,10.33,0.8,0.11,1.03,7.28,1.08,1.3,0.03
75.79,0.16,13.05,0.98,0.07,0.13,0.6,3.46,5.12,0.02
75.63,0.18,12.72,1.13,0.06,0.31,1.1,4.32,2.92,0.03
79.55,0.09,8.08,0.54,0.02,0.47,1.56,1.43,1.69,0.01
78.67,0.12,12.2,0.77,0.08,0.06,0.4,3.52,4.71,0.02
76.56,0.09,9.57,0.64,0.03,0.32,1.86,1.84,2.09,0.01
75.44,0.18,7.86,1.45,0.03,0.81,1.15,2.34,1.96,0.07
75.72,0.18,7.93,1.48,0.03,0.82,1.14,2.32,1.98,0.07
61.65,0.24,12.36,1.87,0.05,0.81,2.86,7.55,2.91,0.07
61.95,0.24,12.46,1.92,0.06,0.83,2.86,7.67,2.91,0.08
73.33,0.18,13.8,1.41,0.07,0.54,1.8,3.88,3.76,0.04
58.26,0.68,18.46,3.84,0.12,2.77,6.95,4.21,1.35,0.24
60.78,0.51,17.2,3.93,0.11,2.13,5.7,3.3,2.35,0.21
57.8,0.7,18.45,3.47,0.11,3.16,6.93,4.14,1.39,0.24
60.4,0.63,16.54,2.81,0.09,2.86,5.46,3.27,2.53,0.2
59.83,0.63,17.37,3.27,0.12,2.45,5.69,3.59,2.42,0.21
53.29,0.97,17.95,5.42,0.16,2.97,7.25,3.71,2.31,0.43
43.96,0.89,11.29,5.29,0.18,14.8,10.27,4.04,1.94,0.53
50.7,0.89,17.4,,0.14,6.22,8.87,3.04,1.2,0.2
61.3,0.55,17.4,,0.13,1.96,5.08,4.33,2.24,0.31
58.36,0.69,18.68,7.04,6.16,3.83,2.26,0.3,,
61.1,0.52,17.26,3.25,0.1,2.14,5.43,3.76,2,0.21
54.6,0.96,17.7,,0.13,3.97,7.46,3.65,1.81,0.25
56.2,0.83,17.9,,0.12,3.52,7.01,3.66,1.53,0.2
58.8,0.73,18.23,5.7,0.09,2.86,6.27,4.17,1.62,0.24
59.2,0.77,17.15,5.9,0.09,3.49,6.17,3.95,1.9,0.19
57.13,0.62,18.28,7.39,0.17,3.85,7.27,4.52,1.2,0.23
57.43,0.9,17.2,7.32,0.1,3.84,6.65,3.9,1.83,0.25
62.6,0.74,16.6,,0.1,1.18,4.37,4.35,3.17,0.28
60.5,0.82,15.9,,0.09,2.78,5.08,3.16,3.38,0.25
56.8,0.88,17.8,,0.14,3.43,6.94,3.65,1.87,0.21
57.2,0.84,17.7,,0.12,3.2,6.56,3.71,1.9,0.2
59.2,0.81,17,,0.11,2.59,5.37,3.66,2.96,0.3
62.2,0.68,17.44,,0.07,1.93,5.65,4.39,2.01,0.34
53.43,0.92,15.79,7.66,0.15,4.14,8.17,3.32,3.33,0.31
59.48,0.57,17.7,4.27,0.03,1.34,3.51,4.29,2.64,0.35
56.15,0.97,17.29,8.39,0.05,3.51,3.7,6.75,1.59,0.35
57.24,0.89,17.24,7.75,0.06,2.9,3.49,5.18,3.74,0.35
49.69,0.91,14.43,8.83,0.09,1.74,8.71,2.88,5.43,0.54
52.57,1.05,16.16,8.61,0.08,4.78,7.62,3.41,3.41,0.42
50.35,0.99,15.6,8.01,0.12,2.96,10.41,3.38,3.66,0.4
53.66,1.05,16.82,8.54,0.1,3.16,7.55,3.59,3.81,0.46
58.39,1.04,16.85,6.75,0.2,0.93,4.49,3.95,3.9,0.36
48.53,1.38,15.21,11.4,0.17,4.71,9.22,4.21,2.56,0.69
53.24,1.05,16.76,8.31,0.1,3.06,8.48,3.63,3.69,0.48
48.21,1.4,16.46,8.79,0.15,2.78,11.61,3.36,2.64,0.43
53.96,1.04,18.47,8.41,0.25,2.65,7.96,3.66,2.68,0.5
57.18,0.94,17.4,7.83,0.15,2.52,4.65,4.73,3.48,0.39
62,0.49,16.9,5.01,0.12,1.6,4.52,3.4,3.05,0.2
50.19,0.91,15.42,9.37,0.14,8.11,8.51,2.5,2.26,0.46
51.89,0.9,14.96,9.12,0.2,4.01,6.67,2.55,6.15,0.58
51.82,0.89,16.31,9.07,0.35,3.26,7.23,2.54,5.87,0.61
45.78,0.97,11.78,11.65,0.18,7.91,11.29,3.65,1.46,0.86
49.51,0.98,15,8.05,0.1,3.35,10.37,3.2,3.48,0.54
57.15,0.64,17.85,6.35,0.07,1.7,3.99,3.9,6.24,0.44
71.62,0.28,15.25,2.01,0.05,0.57,1.79,3.53,4.27,0.12
50.9,0.08,9.2,0.59,0.04,0.86,9.09,1.93,3.17,0.02
74.4,0.23,13.2,1.65,0.07,0.26,0.93,3.91,3.97,0.03
75.2,0.18,11.9,1.61,0.04,0.42,1.01,2.74,4.26,0.04
71.7,0.22,12.8,1.77,0.06,0.79,1.71,2.15,4.86,0.06
65.6,0.54,15.2,3.2,0.07,1.13,2.88,4.47,3.58,0.2
62.22,0.77,17.12,,0.25,2.8,5.87,3,2.14,
66.63,0.33,15.56,,0.09,1.86,3.89,3.31,3.82,0.41
69.9,0.45,14.46,2.66,0.05,0.73,2.91,3.38,4.47,0.12
69.9,0.43,14.36,2.55,0.05,0.87,2.48,3.33,4.28,0.12
,,,,,,,,,
57.27,1.35,16.33,3.01,0.09,3.77,5.94,4.3,2.54,0.47
59.85,1.08,16.08,3.06,0.08,2.92,5.15,4.39,2.98,0.43
52.27,1.49,15.92,3.99,0.15,6.23,8.22,3.01,2.23,0.44
64.21,0.68,15.86,2.69,0.06,1.76,3.81,4.14,3.34,0.27
59.51,1.18,16.48,4.13,0.07,2.21,5.15,4.85,3.02,0.46
44.66,2.28,13.72,3.76,0.18,9.39,12.16,3.06,1.32,0.73
52.52,1.4,16,2.33,0.14,7.63,8.12,3.14,2.08,0.37
53.77,1.38,15.92,1.14,0.13,7.18,7.41,3.15,2.34,0.35
53.97,1.25,17.26,3.43,0.12,4.29,7.67,3.84,2.24,0.4
53.68,1.69,16.49,3.06,0.11,5.69,7.45,4.15,1.95,0.56
61.12,1.71,14.08,1.59,0.07,2.9,3.87,3.02,4.7,0.87
60.93,1.73,14.14,1.56,0.07,2.9,3.87,3.04,4.71,0.87
56.52,0.74,16.94,3.53,0.17,2.39,6.57,3.2,2.63,0.35
63.31,1.08,16.53,1.32,0.06,2.11,4.53,2.81,4.24,0.41
56.58,1.48,16.12,2.94,0.1,4.01,6.02,4.45,2.73,0.54
58.39,0.9,18.71,3.65,0.11,1.73,5.53,4.01,3.16,0.43
58.97,1.02,16.94,3.67,0.11,2.78,5.84,4.11,2.82,0.39
