SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5
60,0.75,16.9,5.9,0.09,2.8,5.46,4.07,2.46,0.27
58.1,0.89,16.7,7.44,0.12,3.15,5.88,4.28,1.81,0.29
57.1,0.94,17.2,6.93,0.1,3.54,6.34,4.13,2.11,0.31
59.2,0.79,17.4,6.24,0.09,2.94,5.66,4.23,2.22,0.27
61.5,0.68,16.9,5.61,0.1,2.66,5.1,4.12,2.43,0.24
60.2,0.76,17.2,5.97,0.1,2.78,5.42,4.29,2.25,0.27
59.5,0.87,16.9,6.47,0.09,3.44,5.57,3.99,2.19,0.24
58.3,0.96,16.7,6.84,0.1,3.82,5.85,3.99,2.26,0.29
59.2,0.99,16.6,6.29,0.09,3.21,5.73,4.22,2.35,0.33
58.3,0.87,17,6.76,0.1,3.25,5.97,4.04,2.13,0.27
59.1,0.82,16.7,6.06,0.09,3.05,5.48,4.19,2.27,0.27
58.3,0.86,17.1,6.39,0.09,3.29,5.39,4.01,2.42,0.3
59.2,0.9,16.7,6.77,0.1,3.76,5.58,3.91,2.18,0.25
58,1,16.9,6.83,0.1,3.83,6.03,4.09,2.29,0.33
58.5,0.97,16.7,6.75,0.09,3.69,5.89,4.02,2.36,0.32
65.6,0.5,17,3.45,0.07,0.51,3.07,5,3.41,0.22
65.2,0.51,16.9,3.52,0.07,0.63,3.14,4.93,3.38,0.22
62.6,0.69,17.3,5.03,0.08,1.77,4.62,4.31,3.08,0.24
60.5,0.76,17.2,6.03,0.1,3.14,5.64,4.27,2.17,0.25
61.6,0.67,17.1,4.93,0.09,1.62,4.24,4.16,3.43,0.35
61.6,0.59,16.7,5.04,0.1,2.16,4.51,3.98,2.3,0.21
60,0.77,16.9,5.88,0.09,2.85,5.4,3.91,2.21,0.25
59.7,0.73,17.1,6.14,0.1,2.82,5.41,3.92,2.33,0.25
57.7,0.89,17,6.62,0.1,3.33,5.95,4.07,2.08,0.3
58.6,0.83,17.1,6.27,0.09,3.32,5.97,4.14,2.25,0.3
60.3,0.73,17.1,5.81,0.09,2.87,5.48,4.32,2.21,0.25
61.8,0.67,16.6,5.06,0.08,2.11,4.7,4.03,2.57,0.24
66.3,0.42,15.5,3.37,0.07,1.26,3.29,3.76,3.3,0.15
64.7,0.51,15.9,4.04,0.07,1.64,3.86,3.87,3.01,0.18
60.3,0.76,16.8,5.62,0.09,2.5,5.21,4.08,2.35,0.26
59.2,0.84,17.1,6.1,0.09,2.78,5.66,4.2,2.12,0.28
59,0.85,17,6.17,0.09,2.9,5.68,4.14,2.13,0.28
60.4,0.75,17.1,5.88,0.1,2.63,5.36,4.48,2.24,0.28
58,0.89,17.2,6.56,0.1,3.32,5.97,4.3,2.08,0.3
59.5,0.73,17.5,6.1,0.1,2.94,5.75,4.18,2.13,0.25
,,,,,,,,,
58,0.89,17.2,6.56,0.1,3.32,5.97,4.3,2.08,0.3
59.5,0.73,17.5,6.1,0.1,2.94,5.75,4.18,2.13,0.25
58.4,0.72,16.8,5.8,0.09,2.88,5.34,3.78,2.13,0.25
61.2,0.62,17,5.17,0.09,2.29,4.79,4.32,2.53,0.25
61.8,0.66,16.6,5.03,0.08,2.12,4.74,4.17,2.6,0.25
61.6,0.7,16.7,5.21,0.08,2.22,4.9,4.22,2.53,0.25
68.67,0.19,14.3,1.46,0.09,0.45,1.46,4.38,3.64,0.14
60.5,0.69,17.2,5.6,0.1,2.68,5.35,4.25,2.3,0.25
60.7,0.74,17,5.57,0.09,2.42,5.2,4.21,2.36,0.26
59,0.88,17.2,6.27,0.09,2.99,5.81,4.3,2.09,0.28
57.7,0.75,17.1,6.15,0.1,3.02,5.73,3.89,1.96,0.24
62.1,0.97,15.9,5.65,0.08,2.47,4.81,3.76,3.14,0.33
,,,,,,,,,
61.83,0.97,15.88,5.67,0.08,2.44,4.83,3.9,3.14,0.33
64.83,0.65,14.48,4.66,0.07,1.65,3.32,3.41,3.8,0.24
66.1,0.65,15,4.27,0.08,1.93,3.68,3.54,3.83,0.22
65.95,0.65,15,4.28,0.08,1.95,3.7,3.68,3.85,0.22
58,1.15,17,7.65,0.08,2.42,5.24,3.68,2.5,0.46
57.73,1.16,17.03,7.7,0.08,2.46,5.25,3.8,2.5,0.45
55.5,1.43,16.5,7.87,0.11,4.74,7.31,4.13,2.22,0.54
58.3,0.91,17,6.22,0.1,2.39,5.08,3.77,2.62,0.35
60.9,0.89,16.7,6.01,0.1,2.31,5.02,3.98,2.88,0.36
61.03,0.89,16.75,6.02,0.1,2.32,5.05,4.12,2.89,0.37
56.5,0.94,17.7,6.32,0.11,2.36,5.07,3.48,2.4,0.37
66.8,0.36,15.1,2.49,0.07,0.69,2.29,3.68,4.13,0.13
66.88,0.36,15.03,2.49,0.07,0.69,2.3,3.84,4.13,0.13
67.2,0.37,15.3,2.51,0.07,0.7,2.34,3.9,4.03,0.13
61.4,0.71,16.1,5.05,0.1,1.89,4.41,3.77,3.23,0.31
60.3,0.78,16.2,5.37,0.1,2.12,4.66,3.67,3.14,0.34
63,0.62,15.8,4.07,0.08,1.56,3.76,3.72,3.75,0.34
62.55,0.65,16.4,4.25,0.06,1.9,4.15,4.41,2.71,0.23
63.55,0.58,16.45,3.84,0.06,1.64,3.84,4.42,2.73,0.2
,,,,,,,,,
59.55,0.98,16.8,6.15,0.08,2.58,5.31,4.58,2.65,0.4
63.25,0.58,16.6,3.94,0.06,1.83,4.06,4.48,2.7,0.19
63.3,0.6,16.2,4.09,0.06,1.85,3.88,4.37,2.76,0.2
63.85,0.65,16.45,4.28,0.06,1.93,4.16,4.5,2.78,0.22
65.25,0.57,16.3,3.99,0.06,1.68,3.78,4.52,2.78,0.18
55.8,0.61,15.7,4.87,0.07,2.79,4.28,1.7,2.79,0.19
64.6,0.57,16.35,3.88,0.06,1.67,3.81,4.49,2.78,0.19
64.4,0.54,16.15,3.67,0.06,1.54,3.84,4.51,2.73,0.18
63,0.58,16,4.01,0.06,1.77,3.97,4.46,2.73,0.19
63.1,0.58,16.2,4.09,0.06,1.83,4.01,4.45,2.7,0.19
63.3,0.59,16.3,4.12,0.06,1.88,4.05,4.48,2.71,0.2
63.45,0.58,16.2,4.01,0.06,1.82,4,4.54,2.72,0.19
63.2,0.59,16.4,4.1,0.06,1.9,4.16,4.49,2.67,0.19
63.8,0.6,16.2,4.08,0.06,1.78,3.98,4.44,2.71,0.19
64.4,0.59,16.4,4.05,0.06,1.76,3.98,4.41,2.69,0.19
63.2,0.63,16.3,4.14,0.06,1.86,4.17,4.48,2.71,0.2
64.35,0.57,16.1,3.95,0.06,1.68,3.75,4.39,2.81,0.19
64.1,0.61,16.3,4.1,0.06,1.8,3.97,4.52,2.76,0.2
65.1,0.59,16.4,3.96,0.06,1.68,3.86,4.53,2.79,0.19
63.6,0.61,16.4,4.16,0.06,1.86,4.08,4.46,2.73,0.2
67.6,0.39,15.4,2.89,0.06,1.01,2.79,4.42,3.11,0.14
63.2,0.6,16.1,4.17,0.06,1.82,4.04,4.39,2.73,0.2
63.65,0.56,16.05,3.83,0.06,1.68,3.88,4.35,2.76,0.19
63.2,0.71,16.3,4.27,0.06,1.62,3.61,4.28,3.17,0.24
62.9,0.7,16.3,4.25,0.06,1.66,3.62,4.08,3.19,0.23
65,0.69,16.1,4.29,0.06,1.65,3.7,4.37,3.24,0.21
65.4,0.68,16,4.27,0.06,1.65,3.62,4.35,3.25,0.21
59.7,1.09,16.9,5.95,0.08,2.5,5.03,4.21,2.38,0.27
59.9,1.03,17.1,5.9,0.07,2.06,4.89,4.33,2.49,0.31
64.7,0.68,15.9,4.16,0.06,1.74,3.61,4.32,3.29,0.22
65.5,0.67,16,3.94,0.06,1.49,3.38,4.42,3.38,0.22
65.6,0.68,16.1,3.91,0.06,1.79,3.55,4.38,3.22,0.21
65.6,0.68,16.1,3.91,0.06,1.79,3.55,4.38,3.22,0.21
65.1,0.63,15.9,4.03,0.06,1.65,3.58,4.31,3.21,0.2
65.2,0.63,16,3.99,0.06,1.6,3.6,4.37,3.15,0.2
64.5,0.61,16.3,3.87,0.06,1.59,3.56,4.37,3.08,0.19
58.4,1.28,15.99,6.83,0.09,3.27,5.66,4.19,2.95,0.49
59.05,1.28,16.32,2.49,0.08,3.16,5.49,4.55,2.96,0.49
68.96,0.46,14.53,1.29,0.05,0.99,2.29,3.98,4.1,0.16
68.4,0.51,14.7,3.01,0.05,1.08,2.24,4.09,4.25,0.17
67.81,0.53,14.93,2.95,0.05,1.08,2.49,4.21,4.2,0.18
61.6,1.09,15.5,5.36,0.07,2.24,4.21,4.37,3.4,0.43
53.21,1.64,15.9,8.79,0.11,5.05,7.37,4.29,2.67,0.8
53.32,1.65,15.88,8.82,0.12,4.98,7.57,4.26,2.41,0.74
58.66,1.3,16.08,7.17,0.1,3.64,6.12,4.23,2.87,0.47
67.59,0.54,15,3.09,0.05,1.12,2.56,4.19,3.95,0.2
58.1,1.27,15.9,6.86,0.09,3.47,5.76,4.2,2.85,0.46
56.47,1.4,16.58,8.15,0.1,4.01,6.56,4.14,2.26,0.43
58.36,1.3,16.07,7.17,0.1,3.65,6.1,4.14,2.85,0.46
67.1,0.5,15.3,2.93,0.05,1.07,2.66,4.27,4.02,0.19
68.5,0.53,14.6,3.1,0.05,1.1,2.37,4.14,4.18,0.18
67.51,0.54,14.95,3.03,0.05,1.1,2.54,4.28,4.15,0.17
54.04,1.62,16.06,8.59,0.11,4.79,7.58,4.25,2.63,0.76
63.04,0.71,17.09,4.43,0.07,1.3,3.43,4.3,3.75,0.28
66.9,0.54,15,3.05,0.05,1.09,2.5,4.02,3.98,0.2
65.1,0.63,15.3,4.01,0.07,1.72,3.47,4.05,3.69,0.21
65.7,0.63,15.5,4.07,0.07,1.69,3.75,3.94,3.4,0.22
65.4,0.67,15.3,4.24,0.07,1.91,3.66,3.83,3.53,0.22
60.75,0.92,17.66,6.05,0.09,2.4,5.51,4.28,2.37,0.31
55.68,1.31,16.98,7.8,0.11,4.41,7.09,3.84,2,0.41
61.45,1.06,16.1,2.49,0.08,2.62,4.89,4.34,2.6,0.33
64.4,0.84,16.3,4.38,0.06,1.6,3.74,4.66,2.92,0.28
62.8,0.83,16.3,4.38,0.06,1.54,3.7,4.5,2.94,0.27
63.8,0.74,15.9,4.13,0.06,1.81,3.81,4.37,3.05,0.27
56.8,1.35,15.9,7.07,0.09,3.51,5.85,3.98,3.18,0.59
64.6,0.8,16,4.28,0.06,1.74,3.95,4.44,3.05,0.27
63.5,0.87,16.2,4.62,0.06,1.83,4.25,4.49,2.86,0.3
65.2,0.7,15.9,3.44,0.06,1.66,3.67,4.53,3.21,0.26
64.1,0.84,16,2.13,0.06,1.82,4.03,4.42,3.03,0.28
55.5,1.54,16.7,7.74,0.08,3.61,6.38,4.06,2.27,0.53
63.6,0.84,15.9,4.46,0.06,1.81,4.01,4.42,3.07,0.29
64.9,0.71,15.8,3.91,0.06,1.59,3.66,4.43,3.31,0.27
64.1,0.76,16,4.27,0.07,1.95,4.15,4.5,3.1,0.29
63.1,0.76,15.9,4.29,0.07,1.89,4.11,4.46,3.16,0.3
65.5,0.68,15.8,3.69,0.06,1.46,3.46,4.4,3.11,0.23
65.2,0.68,15.8,3.73,0.06,1.4,3.43,4.4,3.16,0.24
66,0.65,16.1,3.69,0.06,1.41,3.58,4.43,3.3,0.23
